left,right,left_seeds,right_seeds,output_sup,output_sup_after_t0,loss_of_mean_sup,gram_absolute_sup,gram_increment_sup,theta_sup
seed6000_S32,seed8000_S32,32,32,0.018518152805258203,0.01678344275232078,0.0035609451179191565,0.022751141945578566,0.004557884367800672,0.04673353162259711
seed6000_S32,seed10000_S64,32,64,0.011624462324620303,0.010530983306493377,0.004870225495206548,0.027575901356984164,0.0039291414367666625,0.039250819814771305
seed8000_S32,seed10000_S64,32,64,0.026057790081861473,0.02289899408875068,0.008431170613125705,0.02758814445601707,0.005445610428152398,0.05415893582557216
