group,replicates,members,output_qmc_sem_norm_max,output_qmc_sem_norm_rms,gram_qmc_sem_fro_max,gram_qmc_sem_fro_rms,theta_qmc_sem_fro_max,theta_qmc_sem_fro_rms,pairwise_output_max_l2_max,pairwise_output_max_l2_median,pairwise_gram_max_fro_max,pairwise_gram_max_fro_median,pairwise_theta_max_fro_max,pairwise_theta_max_fro_median,pairwise_output_terminal_l2_max,pairwise_output_terminal_l2_median,pairwise_gram_terminal_max_fro_max,pairwise_gram_terminal_max_fro_median
m3_P5_N16_M128_R64_QMC,2,pde_QMC_P5_N16_M128_R64_s20260723_dt0p02_T4.npz;pde_QMC_P5_N16_M128_R64_s20260724_dt0p02_T4.npz,0.0005388659384486231,0.00022967155457855238,0.001687973695430031,0.0010914120439419253,0.023313451947243984,0.021479287355555404,0.0010777318768972462,0.0010777318768972462,0.003375947390860062,0.003375947390860062,0.04662690389448797,0.04662690389448797,4.7404378680500976e-08,4.7404378680500976e-08,0.0031929805141504798,0.0031929805141504798
m3_P5_N16_M256_R128_QMC,3,pde_QMC_P5_N16_M256_R128_s20260723_dt0p02_T8.npz;pde_QMC_P5_N16_M256_R128_s20260725_dt0p02_T4.npz;pde_QMC_P5_N16_M256_R128_s20260726_dt0p02_T4.npz,0.0004088197011585905,0.00015862749024111745,0.000752967512264932,0.0004931467990380166,0.012588688891841532,0.011810198752354213,0.0013216058239462448,0.0009679291880620647,0.0021275463801835965,0.0018141720548463807,0.037075001157248565,0.029805417664417612,6.025019030750421e-08,5.6909848505120874e-08,0.002014766364892772,0.0017717912610359747
