label,scheme,metric,replicates,bootstrap_q90,bootstrap_q95,bootstrap_q99,observed,observed_over_q95,centered_bootstrap_tail_probability,resolved_at_5pct_for_scheme,left,right
width_n256_to_n512_at_L32,pooled,gram_increment_sup,2000,0.008896519990650406,0.009967211289560943,0.01221673372746586,0.009350424143982627,0.9381183836020109,0.07496251874062969,False,E512_L32_S16,E256_L32_S128
width_n256_to_n512_at_L32,stratified,gram_increment_sup,2000,0.009188736674323817,0.010306153585706397,0.012292310164394032,0.009350424143982627,0.9072661363159511,0.09045477261369315,False,E512_L32_S16,E256_L32_S128
depth_L32_to_L64_at_n256,pooled,gram_increment_sup,2000,0.007539247317469976,0.008568014140313938,0.011325809918940659,0.004226285138990869,0.49326309104760824,0.623688155922039,False,E256_L64_S64,E256_L32_S128
depth_L32_to_L64_at_n256,stratified,gram_increment_sup,2000,0.0076221421175826564,0.008978473691541802,0.010937852012657887,0.004226285138990869,0.4707130949186,0.6166916541729135,False,E256_L64_S64,E256_L32_S128
