group,left,right,left_seeds,right_seeds,output_sup,output_increment_sup,loss_of_mean_sup,gram_absolute_sup,gram_increment_sup,gram_increment_terminal,gram_increment_time_of_max,gram_increment_depth_fraction_of_max,theta_sup,left_terminal_feature_motion,right_terminal_feature_motion,gram_increment_fraction_left_motion
n256_L32_acquisition,n256_L32_seed6000_S32,n256_L32_seed8000_S32,32,32,0.018518152805258203,0.018518152805043448,0.0035609451179191565,0.022751141945578566,0.004557884367800672,0.004230086683883703,0.28,1.0,0.04673353162259711,0.6401448730403688,0.6383451800308548,0.00712008259341826
n256_L32_acquisition,n256_L32_seed6000_S32,n256_L32_seed10000_S64,32,64,0.011624462324620303,0.01162446232436208,0.004870225495206548,0.027575901356984164,0.0039291414367666625,0.002858768827199785,0.32,1.0,0.039250819814771305,0.6401448730403688,0.6405764211660426,0.0061378940959180076
n256_L32_acquisition,n256_L32_seed8000_S32,n256_L32_seed10000_S64,32,64,0.026057790081861473,0.02605779008070972,0.008431170613125705,0.02758814445601707,0.005445610428152398,0.0037172141534041175,0.24,1.0,0.05415893582557216,0.6383451800308548,0.6405764211660426,0.008530824072156667
n256_L64_acquisition,n256_L64_seed7000_S16,n256_L64_seed12000_S48_HELDOUT,16,48,0.017672596538676894,0.017782717359594847,0.017597095463753876,0.11065450893233701,0.006644229950117892,0.006644229950117892,8.0,1.0,0.1843749215150226,0.6430229438490003,0.6371548362236822,0.010332803850430169
n256_L64_heldout_subblocks,n256_L64_seed12000_S16_SUBBLOCK,n256_L64_seed12016_S16_SUBBLOCK,16,16,0.036038755874675005,0.03605915091641833,0.03572149071651454,0.10599443417772313,0.010180786810520691,0.009055780526227361,0.24,1.0,0.15316124383143562,0.6275074058155115,0.6317122509082425,0.016224169971810445
n256_L64_heldout_subblocks,n256_L64_seed12000_S16_SUBBLOCK,n256_L64_seed12032_S16_SUBBLOCK,16,16,0.05974681486298416,0.05974681486540689,0.03814928979660337,0.08791035720625258,0.026588093685406294,0.026588093685406294,8.0,1.0,0.24336170591123954,0.6275074058155115,0.6522943789615834,0.04237096397428535
n256_L64_heldout_subblocks,n256_L64_seed12016_S16_SUBBLOCK,n256_L64_seed12032_S16_SUBBLOCK,16,16,0.04472839120977662,0.044728391209346754,0.00755225056126288,0.08807230760995478,0.021635225456371542,0.021635225456371542,8.0,1.0,0.20204451397709725,0.6317122509082425,0.6522943789615834,0.034248545006473376
n512_L32_heldout_halves,n512_L32_seed14000_S8_HALF,n512_L32_seed14008_S8_HALF,8,8,0.03290515152015238,0.032926478777550415,0.021929166392667176,0.0486573461759883,0.008443535451163433,0.008437981811003078,2.0,1.0,0.0995926454799897,0.6311630318706098,0.6390680794624821,0.013377740813081051
