label,scheme,metric,replicates,bootstrap_q90,bootstrap_q95,bootstrap_q99
E256_L32_S128,pooled,output_sup,2000,0.014217827995036084,0.015997052575373424,0.01898337394491705
E256_L32_S128,pooled,output_increment_sup,2000,0.014322706517473366,0.015997052575299243,0.01898337581499559
E256_L32_S128,pooled,loss_of_mean_sup,2000,0.009709260198241412,0.011380774749930194,0.014939315406491035
E256_L32_S128,pooled,gram_absolute_sup,2000,0.026623177499676513,0.029252999043895157,0.033837181774004695
E256_L32_S128,pooled,gram_increment_sup,2000,0.0044565826659355235,0.0050619974351815335,0.006378796086970386
E256_L32_S128,pooled,theta_sup,2000,0.052550974894496054,0.05907645047890787,0.0740361467011136
E256_L32_S128,stratified,output_sup,2000,0.01381987335958144,0.01538285506879308,0.01822079794878231
E256_L32_S128,stratified,output_increment_sup,2000,0.013892923900058673,0.015450628710586674,0.01822079853201475
E256_L32_S128,stratified,loss_of_mean_sup,2000,0.009462160323683246,0.011011266127760306,0.013883109024002619
E256_L32_S128,stratified,gram_absolute_sup,2000,0.026668015097675673,0.02923669390270864,0.0348632224152327
E256_L32_S128,stratified,gram_increment_sup,2000,0.0044101229821255795,0.004981216684746259,0.0060683910984857875
E256_L32_S128,stratified,theta_sup,2000,0.05303879218241649,0.059604320329656686,0.072574337145437
E256_L64_old_S16,pooled,output_sup,2000,0.03461873583617074,0.03948349889245258,0.047997151800552904
E256_L64_old_S16,pooled,output_increment_sup,2000,0.03470890176479152,0.03948349889232089,0.047997151984952934
E256_L64_old_S16,pooled,loss_of_mean_sup,2000,0.018330347579597644,0.022251708873166482,0.02964046817216225
E256_L64_old_S16,pooled,gram_absolute_sup,2000,0.07662738375106198,0.0849265906355073,0.10132906487445817
E256_L64_old_S16,pooled,gram_increment_sup,2000,0.012038247853825778,0.014317910319298547,0.018224635997849063
E256_L64_old_S16,pooled,theta_sup,2000,0.15902383454589428,0.18198193752174377,0.23505609385178775
E256_L64_new_S48,pooled,output_sup,2000,0.02261020917011257,0.025956615799605495,0.03175229870123945
E256_L64_new_S48,pooled,output_increment_sup,2000,0.02266838505221629,0.025975714789226317,0.03175229869953062
E256_L64_new_S48,pooled,loss_of_mean_sup,2000,0.013436171594000014,0.016315110177139523,0.022842921010006973
E256_L64_new_S48,pooled,gram_absolute_sup,2000,0.043345753692342226,0.046682405095756926,0.054835664587825995
E256_L64_new_S48,pooled,gram_increment_sup,2000,0.0073279579149919186,0.008507674235261022,0.01094218674895593
E256_L64_new_S48,pooled,theta_sup,2000,0.09068020467733998,0.10301783299213951,0.1324708311082847
E256_L64_S64,pooled,output_sup,2000,0.019178792830098372,0.022013328652837578,0.0269735316314988
E256_L64_S64,pooled,output_increment_sup,2000,0.019242969739954482,0.022013332972139185,0.026973534061124092
E256_L64_S64,pooled,loss_of_mean_sup,2000,0.011494993911753874,0.013775674536907461,0.01918154578747081
E256_L64_S64,pooled,gram_absolute_sup,2000,0.03815283762627751,0.0414694590596066,0.04888381551374129
E256_L64_S64,pooled,gram_increment_sup,2000,0.0062951028285154614,0.007073330008785536,0.00952723799250057
E256_L64_S64,pooled,theta_sup,2000,0.07867664853262997,0.0876727270022886,0.11161182585553296
E256_L64_S64,stratified,output_sup,2000,0.019134041597885607,0.021317285500155794,0.02740155471742404
E256_L64_S64,stratified,output_increment_sup,2000,0.019159423152830143,0.021352573214835514,0.02740155471743544
E256_L64_S64,stratified,loss_of_mean_sup,2000,0.011123148360097425,0.013151392780689958,0.017430331462599664
E256_L64_S64,stratified,gram_absolute_sup,2000,0.03735052134836312,0.04090244584527335,0.04911089169647946
E256_L64_S64,stratified,gram_increment_sup,2000,0.006198924120534828,0.007111877798484458,0.00861613653312735
E256_L64_S64,stratified,theta_sup,2000,0.07727639171181813,0.08752847899451152,0.10872101475515457
E512_L32_S16,pooled,output_sup,2000,0.024064095647161686,0.02715598544418076,0.03493845837314876
E512_L32_S16,pooled,output_increment_sup,2000,0.02400418506931713,0.027155985444034463,0.03493845837294173
E512_L32_S16,pooled,loss_of_mean_sup,2000,0.012435181696785114,0.014960932029011203,0.02015024486567489
E512_L32_S16,pooled,gram_absolute_sup,2000,0.05592877701786738,0.06239959203598379,0.07512267727734383
E512_L32_S16,pooled,gram_increment_sup,2000,0.008009889984319707,0.009215663462341478,0.011105452556650155
E512_L32_S16,pooled,theta_sup,2000,0.11999931679194724,0.1372005808172699,0.16395926978174274
