L,h_var_t0,h_se_t0,p_var_t0,p_se_t0,h_var_t0p5,h_se_t0p5,p_var_t0p5,p_se_t0p5,L_times_h_var_t0,L_times_h_var_t0p5,L_times_p_var_t0,L_times_p_var_t0p5
8.0,0.0315558387344893,0.0006516501166714909,0.034065707672875596,0.0011635158785515568,0.03754821544909654,0.0006863531194749587,0.04519832459138803,0.0015342955963898689,0.2524467098759144,0.3003857235927723,0.27252566138300477,0.3615865967311042
16.0,0.01490440162377632,0.00028417650419889924,0.016544097369989543,0.0005059653357125083,0.0178347677970316,0.0003224076512401998,0.022043350517242394,0.0006766611857855785,0.23847042598042112,0.2853562847525056,0.2647055579198327,0.3526936082758783
32.0,0.007647359540500723,0.00019164797381246467,0.007961187087618506,0.0003107407253393439,0.009212302977539154,0.0001948042949909394,0.010791764894937392,0.00035713083778523,0.24471550529602312,0.29479369528125293,0.2547579868037922,0.34533647663799655
64.0,0.0037397912740349906,8.306085910271543e-05,0.00432010235672322,0.00017060304421210058,0.004601167481044695,0.00012248889497309249,0.005790958820580054,0.00017217536517408194,0.2393466415382394,0.2944747187868605,0.27648655083028606,0.37062136451712346
