reference,observed_P5_gap,observed_P15_gap,observed_P5_minus_P15,decision
E256_L32_S128,0.007243343266500024,0.009202036002098544,-0.00195869273559852,P15_farther
E256_L64_S64,0.006563901629082725,0.008481101505053282,-0.001917199875970557,P15_farther
E512_L32_S16,0.00989737127468801,0.011730118385285955,-0.0018327471105979449,P15_farther
