field,depths,loglog_slope,slope_standard_error,slope_95ci_lower,slope_95ci_upper,one_over_L_target,max_L_times_variance,min_L_times_variance
h_var_t0,8;16;32;64,-1.019333678366766,0.015526397024573762,-1.0861383729102345,-0.9525289838232973,-1.0,0.2524467098759144,0.23847042598042112
h_var_t0p5,8;16;32;64,-1.0039076066705792,0.0165835863258783,-1.0752610196473387,-0.9325541936938196,-1.0,0.3003857235927723,0.2853562847525056
p_var_t0,8;16;32;64,-0.999280944273104,0.028544407675708903,-1.1220976178826931,-0.8764642706635147,-1.0,0.27648655083028606,0.2547579868037922
p_var_t0p5,8;16;32;64,-0.9923598160470758,0.02357207711707074,-1.0937822780045192,-0.8909373540896323,-1.0,0.37062136451712346,0.34533647663799655
