comparison,left,right,observed_gram_increment_sup,pooled_q95,stratified_q95,decision
width_n256_to_n512_at_L32,E512_L32_S16,E256_L32_S128,0.009350424143982627,0.009967211289560943,0.010306153585706397,not_statistically_resolved_at_curvewise_5pct
depth_L32_to_L64_at_n256,E256_L64_S64,E256_L32_S128,0.004226285138990869,0.008568014140313938,0.008978473691541802,not_statistically_resolved_at_curvewise_5pct
