statistic,observed,replicates,finite_replicates,confidence,method,available,lcb,ucb,central_low,central_high,bootstrap_mean,bootstrap_sd
contrast_error_C4_C0_gram,0.015546444957127863,4000,4000,0.95,one-sided centered/basic bootstrap,True,-0.005563025753862437,0.02009540634913795,-0.009040838348270387,0.02122059937825129,0.021635397969696466,0.0077839738151278814
contrast_error_C4_C0_output,0.0042864010769747924,4000,4000,0.95,one-sided centered/basic bootstrap,True,-0.004671265891481075,0.0038481270481660673,-0.0059142819936999465,0.004257989577499502,0.008347869659815231,0.0026567929556361018
contrast_error_C4_C0_loss,0.006368771697938828,4000,4000,0.95,one-sided centered/basic bootstrap,True,-0.003529573065197254,0.008129564724310808,-0.005410609733258894,0.008971253320690667,0.009745534158176307,0.0036109492073654855
identity_margin_C2_gram,0.34195151350205605,4000,4000,0.95,one-sided centered/basic bootstrap,True,0.33709240790551953,0.3836203133281636,0.33457771003003395,0.3917535785484591,0.32745901990185633,0.014356147023295095
linear_null_margin_C2_gram,0.01815598960740221,4000,4000,0.95,one-sided centered/basic bootstrap,True,0.017920802418075418,0.04152373831493965,0.016392664132017846,0.045219183259541364,0.008311764968378356,0.007404320663267363
identity_margin_C2_output,0.06872937589037295,4000,4000,0.95,one-sided centered/basic bootstrap,True,0.04070750665312732,0.15403821982149238,0.034210963898085284,0.16858293574932331,0.04565431955746404,0.035321093415821216
linear_null_margin_C2_output,-0.02915901204765471,4000,4000,0.95,one-sided centered/basic bootstrap,True,-0.048368663823602664,0.03128249266988703,-0.052774879053608184,0.04155178615717582,-0.046336984456811565,0.02471790591008727
identity_margin_C2_loss,-0.0008594001898068471,4000,4000,0.95,one-sided centered/basic bootstrap,True,-0.08763069643563165,0.1531494207424261,-0.09164046192605477,0.1835316140795898,-0.013146221889249453,0.07664147591888631
linear_null_margin_C2_loss,-0.05878237027344862,4000,4000,0.95,one-sided centered/basic bootstrap,True,-0.12233699863791672,0.053486796420306744,-0.125754809286953,0.0753226153489435,-0.06780796095283469,0.05580280069449902
progress_separation_C2_C0_gram,0.27135875132413634,4000,4000,0.95,one-sided centered/basic bootstrap,True,0.25913758531276787,0.2837148994474563,0.2566367808763718,0.28618745933262546,0.271328240666835,0.007579036802208232
progress_contrast_error_C2_C0_gram,0.013381151604766234,4000,4000,0.95,one-sided centered/basic bootstrap,True,-0.004479979101055291,0.01728869868823996,-0.007416045010890646,0.01822470063160645,0.01918603675453027,0.0067105477600086436
progress_clock_margin_C2_gram,0.24459644811460388,4000,4000,0.95,one-sided centered/basic bootstrap,True,0.2401914267895482,0.27603437537873476,0.23851550446164288,0.28022778657875824,0.23295616715777442,0.010878528976124364
