category,predictor_case,target_case,metric,raw,denominator,normalized,max_time,max_depth_index,max_depth_fraction,matched,case_id,inference_role,quantity,lcb,ucb,comparison_case,pass
cross_prediction,C4,C2,output,0.030102082877451086,1.0319883720275145,0.029169013618157817,8.0,,,False,,,,,,,
cross_prediction,C4,C2,loss,0.03177036228450869,0.5325000000000001,0.0596626521774811,0.12,,,False,,,,,,,
cross_prediction,C4,C4,gram,0.009016602253237225,0.7638789359623858,0.011803705834455962,3.3200000000000003,1,0.0625,True,,,,,,,
cross_prediction,C4,C4,output,0.031083928062601466,1.0319883720275145,0.030120424711309362,3.4,,,True,,,,,,,
cross_prediction,C4,C4,loss,0.027640989137404315,0.5325000000000001,0.05190796082141655,0.0,,,True,,,,,,,
cross_prediction,C4,L2,gram,0.07284567899630602,0.7638789359623858,0.09536285865054017,0.92,16,1.0,False,,,,,,,
cross_prediction,C4,L2,output,0.030010883441025683,1.0319883720275145,0.029080641075503847,8.0,,,False,,,,,,,
cross_prediction,C4,L2,loss,0.026707684528008202,0.5325000000000001,0.05015527610893558,0.0,,,False,,,,,,,
cross_prediction,L2,C0,gram,0.2864606964501334,0.7638789359623858,0.37500797962079035,0.6,16,1.0,False,,,,,,,
cross_prediction,L2,C0,output,0.13325776709408238,1.0319883720275145,0.12912719823797542,0.36,,,False,,,,,,,
cross_prediction,L2,C0,loss,0.07465751198927251,0.5325000000000001,0.14020190044933803,0.2,,,False,,,,,,,
cross_prediction,L2,C1,gram,0.11614184346101214,0.7638789359623858,0.15204221244128022,0.64,16,1.0,False,,,,,,,
cross_prediction,L2,C1,output,0.05705528333876964,1.0319883720275145,0.055286750205019226,0.36,,,False,,,,,,,
cross_prediction,L2,C1,loss,0.044692464393485426,0.5325000000000001,0.08392951059809468,0.16,,,False,,,,,,,
cross_prediction,L2,C2,gram,0.03157685798523244,0.7638789359623858,0.041337516324428815,1.76,0,0.0,False,,,,,,,
cross_prediction,L2,C2,output,0.03077695754511465,1.0319883720275145,0.029822969307927518,1.44,,,False,,,,,,,
cross_prediction,L2,C2,loss,0.027519142012257303,0.5325000000000001,0.05167913992912169,0.04,,,False,,,,,,,
cross_prediction,L2,C4,gram,0.07645444634289733,0.7638789359623858,0.100087124730799,1.04,16,1.0,False,,,,,,,
cross_prediction,L2,C4,output,0.053446083477213406,1.0319883720275145,0.05178942411163955,0.72,,,False,,,,,,,
cross_prediction,L2,C4,loss,0.027640989137404315,0.5325000000000001,0.05190796082141655,0.0,,,False,,,,,,,
cross_prediction,L2,L2,gram,0.007564486892860957,0.7638789359623858,0.009902730048879683,8.0,1,0.0625,True,,,,,,,
cross_prediction,L2,L2,output,0.030029694063488866,1.0319883720275145,0.0290988686282293,2.16,,,True,,,,,,,
cross_prediction,L2,L2,loss,0.026707684528008202,0.5325000000000001,0.05015527610893558,0.0,,,True,,,,,,,
activation_evidence,,,gram,,,0.22440071205430925,,,,,C1,descriptive,dense_separation,0.2165019708185009,0.23529297408972835,,
activation_evidence,,,gram,,,0.21816374668181587,,,,,C1,descriptive,pde_separation,,,,
activation_evidence,,,gram,,,0.011955813398056837,,,,,C1,descriptive,matched_pde_error,-0.005904558839644188,0.011897471305599407,,
activation_evidence,,,gram,,,0.21376792079588758,,,,,C1,descriptive,identity_pde_to_target_error,,,,
activation_evidence,,,gram,,,0.009452433567042505,,,,,C1,descriptive,contrast_error,,,,
activation_evidence,,,gram,,,0.2004890852581956,,,,,C1,descriptive,identity_margin_S_minus_2E,,,,
activation_evidence,,,output,,,0.07537017281403212,,,,,C1,descriptive,dense_separation,0.07236054114681414,0.07930196571784319,,
activation_evidence,,,output,,,0.07566786387089376,,,,,C1,descriptive,pde_separation,,,,
activation_evidence,,,output,,,0.02805764740091827,,,,,C1,descriptive,matched_pde_error,-0.012435607577528637,0.039147731186865715,,
activation_evidence,,,output,,,0.08904677018120336,,,,,C1,descriptive,identity_pde_to_target_error,,,,
activation_evidence,,,output,,,0.0019368186138374929,,,,,C1,descriptive,contrast_error,,,,
activation_evidence,,,output,,,0.01925487801219558,,,,,C1,descriptive,identity_margin_S_minus_2E,,,,
activation_evidence,,,loss,,,0.05815091270184018,,,,,C1,descriptive,dense_separation,0.05517467026504009,0.062326291472303195,,
activation_evidence,,,loss,,,0.059917389293677355,,,,,C1,descriptive,pde_separation,,,,
activation_evidence,,,loss,,,0.04767927411218005,,,,,C1,descriptive,matched_pde_error,-0.026988532444792004,0.08644431758063134,,
activation_evidence,,,loss,,,0.04767927411218005,,,,,C1,descriptive,identity_pde_to_target_error,,,,
activation_evidence,,,loss,,,0.0026436804792076664,,,,,C1,descriptive,contrast_error,,,,
activation_evidence,,,loss,,,-0.03720763552251992,,,,,C1,descriptive,identity_margin_S_minus_2E,,,,
activation_evidence,,,gram,,,0.36384990211428603,,,,,C2,confirmatory,dense_separation,0.35271130118926003,0.3801089142375025,,
activation_evidence,,,gram,,,0.3560428792431509,,,,,C2,confirmatory,pde_separation,,,,
activation_evidence,,,gram,,,0.010949194306115,,,,,C2,confirmatory,matched_pde_error,-0.004118364245847168,0.01089526168668982,,
activation_evidence,,,gram,,,0.3537082926539072,,,,,C2,confirmatory,identity_pde_to_target_error,,,,
activation_evidence,,,gram,,,0.013791835422622772,,,,,C2,confirmatory,contrast_error,-0.0040118029872489806,0.017786313266238866,,
activation_evidence,,,gram,,,0.34195151350205605,,,,,C2,confirmatory,identity_margin_S_minus_2E,0.33709240790551953,0.3836203133281636,,
activation_evidence,,,output,,,0.12707337136489757,,,,,C2,confirmatory,dense_separation,0.122405949092174,0.13331611145165473,,
activation_evidence,,,output,,,0.1275873264260284,,,,,C2,confirmatory,pde_separation,,,,
activation_evidence,,,output,,,0.029171997737262315,,,,,C2,confirmatory,matched_pde_error,-0.011012799048008889,0.04176262273729188,,
activation_evidence,,,output,,,0.14074077838566199,,,,,C2,confirmatory,identity_pde_to_target_error,,,,
activation_evidence,,,output,,,0.00321885831549365,,,,,C2,confirmatory,contrast_error,-0.004054748069289644,0.002818653007159093,,
activation_evidence,,,output,,,0.06872937589037295,,,,,C2,confirmatory,identity_margin_S_minus_2E,0.04070750665312732,0.15403821982149238,,
activation_evidence,,,loss,,,0.09890924357772858,,,,,C2,confirmatory,dense_separation,0.0938149074682686,0.10595211720603001,,
activation_evidence,,,loss,,,0.10269557009288101,,,,,C2,confirmatory,pde_separation,,,,
activation_evidence,,,loss,,,0.049884321883767714,,,,,C2,confirmatory,matched_pde_error,-0.023929018333431855,0.09153879244653156,,
activation_evidence,,,loss,,,0.08175817825242213,,,,,C2,confirmatory,identity_pde_to_target_error,,,,
activation_evidence,,,loss,,,0.004913124123146345,,,,,C2,confirmatory,contrast_error,-0.002534722684285177,0.006444580090821125,,
