configuration,metric,from_level,to_level,from_error,to_error,central_margin,margin_ci99_lower,margin_ci99_upper,bootstrap_probability_margin_gt_zero,central_improves
C,sup_absolute_log_error,M0,M1,0.3765298314495166,0.06560571982758584,0.3109241116219308,0.2198239661637728,0.3969356551827166,1.0,True
C,sup_absolute_log_error,M1,M2,0.06560571982758584,0.035556473018224184,0.030049246809361656,-0.003263201875476164,0.030049246809361854,0.98915,True
C,sup_absolute_log_error,M2,M3,0.035556473018224184,0.042060876863116395,-0.006504403844892211,-0.006504403844892374,0.00024260233036333886,0.0428,False
C,sup_absolute_log_error,M3,M4,0.042060876863116395,0.04143579360310791,0.0006250832600084855,-8.157132785936716e-06,0.0006250832600086763,0.95795,True
C,sup_absolute_log_error,M4,M5,0.04143579360310791,0.041556201464198445,-0.00012040786109053514,-0.000120407861090778,5.383306000850824e-07,0.04335,False
C,mean_absolute_log_error,M0,M1,0.27079099897666425,0.051149668912060964,0.2196413300646033,0.12026745127209902,0.30618340344541756,1.0,True
C,mean_absolute_log_error,M1,M2,0.051149668912060964,0.03304860322681349,0.018101065685247476,-0.002343801241939766,0.018101065685247546,0.99255,True
C,mean_absolute_log_error,M2,M3,0.03304860322681349,0.03651469729160266,-0.00346609406478917,-0.0034660940647892463,0.003466094064789137,0.0202,False
C,mean_absolute_log_error,M3,M4,0.03651469729160266,0.03620960851816851,0.0003050887734341451,-0.00030508877343412427,0.00030508877343422836,0.98825,True
C,mean_absolute_log_error,M4,M5,0.03620960851816851,0.03626435969069311,-5.475117252459749e-05,-5.4751172524701575e-05,5.475117252459923e-05,0.01175,False
A,sup_absolute_log_error,M0,M1,0.73557022074392,0.11514275387753192,0.620427466866388,0.5521189638763647,0.6856119626507124,1.0,True
A,sup_absolute_log_error,M1,M2,0.11514275387753192,0.03159391725595832,0.0835488366215736,0.054701145940146835,0.0989972336076682,1.0,True
A,sup_absolute_log_error,M2,M3,0.03159391725595832,0.04702875070802522,-0.0154348334520669,-0.030883230438161515,0.01137591727907989,0.02235,False
A,mean_absolute_log_error,M0,M1,0.5535429177603971,0.0875693567192499,0.4659735610411472,0.3913162957714405,0.5393293336831764,1.0,True
A,mean_absolute_log_error,M1,M2,0.0875693567192499,0.017798873034802567,0.06977048368444733,0.03201245711202309,0.06977048368444742,0.99995,True
A,mean_absolute_log_error,M2,M3,0.017798873034802567,0.0417340469777493,-0.023935173942946735,-0.023935173942946857,0.008802964655605908,0.0162,False
M,sup_absolute_log_error,M0,M1,0.40359617590213054,0.0696734437767428,0.33392273212538776,0.24961696720002058,0.42045354520131833,1.0,True
M,sup_absolute_log_error,M1,M2,0.0696734437767428,0.034405184223948074,0.03526825955279472,-0.003923483449810642,0.035268259552794924,0.99255,True
M,sup_absolute_log_error,M2,M3,0.034405184223948074,0.04250481394235942,-0.008099629718411348,-0.00809962971841149,0.0003142993033762344,0.0359,False
M,sup_absolute_log_error,M3,M4,0.04250481394235942,0.04166637206684888,0.0008384418755105413,-1.156335239986192e-05,0.000838441875510805,0.96435,True
M,mean_absolute_log_error,M0,M1,0.2911764097013282,0.05437255331695699,0.23680385638437118,0.14306542354987545,0.3262219704058368,1.0,True
M,mean_absolute_log_error,M1,M2,0.05437255331695699,0.03304033105094305,0.021332222266013945,-0.002005229653565504,0.021332222266014028,0.9939,True
M,mean_absolute_log_error,M2,M3,0.03304033105094305,0.037378128447679695,-0.004337797396736648,-0.004337797396736717,0.004337797396736603,0.01795,False
M,mean_absolute_log_error,M3,M4,0.037378128447679695,0.03696665466925679,0.000411473778422905,-0.00041147377842294316,0.0004114737784230646,0.99105,True
V,sup_absolute_log_error,M0,M1,0.9183097362128141,0.13460726827795022,0.7837024679348639,0.7225778847428574,0.8454699060905814,1.0,True
V,sup_absolute_log_error,M1,M2,0.13460726827795022,0.02915116465001677,0.10545610362793345,0.04368866547221601,0.12268542317912003,0.99995,True
V,sup_absolute_log_error,M2,M3,0.02915116465001677,0.04523493817494307,-0.0160837735249263,-0.0333130930761128,0.04190390117828303,0.29455,False
V,sup_absolute_log_error,M3,M4,0.04523493817494307,0.032841150775231816,0.012393787399711254,-0.0004980487256725577,0.014770377829422168,0.99225,True
V,sup_absolute_log_error,M4,M5,0.032841150775231816,0.03664679559768231,-0.0038056448224504935,-0.006127368263916619,9.074164605813763e-05,0.01665,False
V,mean_absolute_log_error,M0,M1,0.7050663193965718,0.10116959101237102,0.6038967283842008,0.533495632284457,0.6767265225660466,1.0,True
V,mean_absolute_log_error,M1,M2,0.10116959101237102,0.019072505319631002,0.08209708569274002,0.02380392873553546,0.10570545910736076,0.9999,True
V,mean_absolute_log_error,M2,M3,0.019072505319631002,0.0387534673790573,-0.019680962059426297,-0.04328933547404708,0.02988786779088594,0.1395,False
V,mean_absolute_log_error,M3,M4,0.0387534673790573,0.030810916973827283,0.007942550405230016,0.005257487499269605,0.007942550405230148,0.99855,True
V,mean_absolute_log_error,M4,M5,0.030810916973827283,0.033892137051351356,-0.003081220077524073,-0.003081220077524177,-0.0018506296390219121,0.00275,False
