reference,max_output_gap,max_output_gap_after_t0,max_loss_of_mean_gap,max_absolute_gram_gap,terminal_absolute_gram_gap,max_gram_increment_gap,terminal_gram_increment_gap,max_theta_gap,reference_feature_motion,pde_feature_motion
n64_L32_S64,0.04310912188842813,0.03782234016871342,0.02065817531304248,0.09000574347648613,0.08691084052519704,0.024641863930901297,0.020523931370625997,0.13507222604740216,0.6419056425411066,0.6338011211613804
n128_L32_S96,0.01818146522623623,0.017446115384561298,0.003777921417301905,0.04115263921453266,0.03417482187305706,0.009255071638256665,0.009175913333608721,0.17823262355817757,0.6285346277636472,0.6338011211613804
n256_L32_S64,0.017075014944239644,0.014655021383400671,0.0014984253533976144,0.027867026247455448,0.026486587966331673,0.006731083952815521,0.006731083952815521,0.05112860118231206,0.6392434782599088,0.6338011211613804
n256_L32_S128,0.010752997608040587,0.009462677636536012,0.0018456582720173254,0.019407504276630565,0.018788396123470764,0.007243343266500024,0.007243343266500024,0.03340430967791031,0.639909483539111,0.6338011211613804
n256_L64_S16,0.022073051336681686,0.018581686976935137,0.009909484249945089,0.07698163697134468,0.07697062181491461,0.00995221744107556,0.00995221744107556,0.1283021958747461,0.6430229438490003,0.6338011211613804
n256_L64_S64,0.01659875049720539,0.014921992965734033,0.0033176174105346012,0.03766028377901261,0.035661048665347465,0.006563901629082725,0.006563901628708429,0.05739133849211549,0.6386204375335549,0.6338011211613804
n512_L32_S16,0.02397641402213585,0.02223835784783019,0.019871846904901846,0.03867551232416729,0.03629181051674813,0.00989737127468801,0.003993128586622861,0.10917220470247121,0.6351138414565706,0.6338011211613804
