configuration,level_index,level_label,level_name,node,proxy_kernel,neural_reference,neural_ci99_lower,neural_ci99_upper,signed_log_error,signed_log_error_ci99_lower,signed_log_error_ci99_upper,absolute_log_error,absolute_log_error_ci99_lower,absolute_log_error_ci99_upper,previous_level,transition_margin,transition_margin_ci99_lower,transition_margin_ci99_upper,bootstrap_probability_margin_gt_zero,central_improves_vs_previous
C,0,M0,ntk_0moments_lower,0.5,111.0,125.53137766034044,121.6086788523741,129.58060992038628,-0.12302554720734521,-0.15347236980521842,-0.09284299139037586,0.12302554720734521,0.0928429913903759,0.15347236980521844,,,,,,
C,0,M0,ntk_0moments_lower,0.75,111.0,145.0094488574536,141.1299686224525,148.99557098461023,-0.267268703519287,-0.2941914755157677,-0.24198983574099464,0.267268703519287,0.2419898357409947,0.29419147551576774,,,,,,
C,0,M0,ntk_0moments_lower,0.9,111.0,159.8774715040268,156.04714413637265,163.80181794408765,-0.36487751744467756,-0.3895311427762611,-0.3427465655836362,0.36487751744467756,0.3427465655836363,0.38953114277626116,,,,,,
C,0,M0,ntk_0moments_lower,0.95,111.0,165.2962890454445,161.49596470931436,169.1860426443167,-0.39820935344682074,-0.422022252641511,-0.37721914759720404,0.39820935344682074,0.37721914759720404,0.422022252641511,,,,,,
C,1,M1,zero_radau_1node_1moments_upper,0.5,128.09666423179937,125.53137766034044,121.6086788523741,129.58060992038628,0.02022941969890561,-0.01021740289896764,0.050411975515874896,0.02022941969890561,0.0003517270470743144,0.050411975515874896,M0,0.1027961275084396,0.04243101587450105,0.14325496690625095,1.0,True
C,1,M1,zero_radau_1node_1moments_upper,0.75,149.4674945215486,145.0094488574536,141.1299686224525,148.99557098461023,0.030280036408728707,0.0033572644122481917,0.05555890418702103,0.030280036408728707,0.0037263341605207963,0.05555890418702103,M0,0.2369886671105583,0.1864309315539737,0.29083421110351954,1.0,True
C,1,M1,zero_radau_1node_1moments_upper,0.9,166.39319211102995,159.8774715040268,156.04714413637265,163.80181794408765,0.039945895998854224,0.015292270667270597,0.06207684785989554,0.039945895998854224,0.015292270667270597,0.06207684785989554,M0,0.3249316214458233,0.28066971772374083,0.3742388721089906,1.0,True
C,1,M1,zero_radau_1node_1moments_upper,0.95,172.7189578767957,165.2962890454445,161.49596470931436,169.1860426443167,0.043926197830281594,0.02011329863559146,0.0649164036798983,0.043926197830281594,0.02011329863559146,0.0649164036798983,M0,0.3542831556165391,0.3123027439173058,0.4019089540059195,1.0,True
C,2,M2,gauss_1node_2moments_lower,0.5,127.67934023338542,125.53137766034044,121.6086788523741,129.58060992038628,0.01696621782342949,-0.0134806047744438,0.04714877364039889,0.01696621782342949,0.00020485765314470295,0.04714877364039889,M1,0.003263201875476119,-0.0032632018754762274,0.003263201875476362,0.93935,True
C,2,M2,gauss_1node_2moments_lower,0.75,147.4173460976317,145.0094488574536,141.1299686224525,148.99557098461023,0.0164687484450772,-0.010454023551403397,0.0417476162233697,0.0164687484450772,0.00023386254935754046,0.0417476162233697,M1,0.013811287963651508,-0.007096759139155204,0.013811287963651647,0.9874,True
C,2,M2,gauss_1node_2moments_lower,0.9,162.2394107876611,159.8774715040268,156.04714413637265,163.80181794408765,0.014665369906353778,-0.009988255425229835,0.036796321767395175,0.014665369906353778,0.0001867614182953276,0.036796321767395175,M1,0.025280526092500446,0.00530401524204076,0.025280526092500644,0.9978,True
C,2,M2,gauss_1node_2moments_lower,0.95,167.6060869624303,165.2962890454445,161.49596470931436,169.1860426443167,0.01387695102092007,-0.009935948173770179,0.03486715687053664,0.01387695102092007,0.0001791685414657718,0.03486715687053664,M1,0.030049246809361524,0.01017735046182128,0.030049246809361864,0.999,True
C,3,M3,zero_radau_2node_3moments_upper,0.5,127.7103192965098,125.53137766034044,121.6086788523741,129.58060992038628,0.017208820153792784,-0.01323800244408054,0.04739137597076209,0.017208820153792784,0.00016797885207899164,0.04739137597076209,M2,-0.00024260233036329376,-0.00024260233036347417,0.00024260233036335144,0.07705,False
C,3,M3,zero_radau_2node_3moments_upper,0.75,147.7227977264725,145.0094488574536,141.1299686224525,148.99557098461023,0.018538624361915505,-0.008384147634565084,0.04381749214020785,0.018538624361915505,0.0003016637341480414,0.04381749214020785,M2,-0.0020698759168383055,-0.002069875916838427,0.002069875916838291,0.0482,False
C,3,M3,zero_radau_2node_3moments_upper,0.9,163.06038345163975,159.8774715040268,156.04714413637265,163.80181794408765,0.019712864073416637,-0.004940761258166946,0.04184381593445794,0.019712864073416637,0.0005569578570753227,0.04184381593445794,M2,-0.00504749416706286,-0.005047494167063046,0.0050474941670628805,0.0365,False
C,3,M3,zero_radau_2node_3moments_upper,0.95,168.69981781642096,165.2962890454445,161.49596470931436,169.1860426443167,0.020381354865812263,-0.0034315443288780965,0.041371560715428954,0.020381354865812263,0.0007512359693707542,0.041371560715428954,M2,-0.006504403844892193,-0.006504403844892384,0.006504403844892202,0.0316,False
C,4,M4,gauss_2node_4moments_lower,0.5,127.709277550726,125.53137766034044,121.6086788523741,129.58060992038628,0.017200663021006996,-0.013246159576866427,0.047383218837976304,0.017200663021006996,0.00016848443672645586,0.047383218837976304,M3,8.15713278578753e-06,-8.157132785957966e-06,8.157132786082433e-06,0.9242,True
C,4,M4,gauss_2node_4moments_lower,0.75,147.70228973410545,145.0094488574536,141.1299686224525,148.99557098461023,0.018399787186127423,-0.00852298481035321,0.043678654964419826,0.018399787186127423,0.000324012510962976,0.043678654964419826,M3,0.0001388371757880813,-0.00013883717578813595,0.00013883717578827212,0.9599,True
