configuration,level_index,level_label,level_name,sup_absolute_log_error,sup_ci99_lower,sup_ci99_upper,mean_absolute_log_error,mean_ci99_lower,mean_ci99_upper
C,0,M0,ntk_0moments_lower,0.39820935344682074,0.37721914759720404,0.422022252641511,0.2883452804045326,0.26368806828801394,0.31473778718979256
C,1,M1,zero_radau_1node_1moments_upper,0.043926197830281594,0.020204431990198356,0.0649164036798983,0.03359538748419253,0.012266859277948865,0.058252599600711205
C,2,M2,gauss_1node_2moments_lower,0.01696621782342949,0.0010902992057240798,0.04714877364039889,0.015494321798945134,0.0005727440264227345,0.04015153391546384
C,3,M3,zero_radau_2node_3moments_upper,0.020381354865812263,0.004162590057864,0.04739137597076209,0.018960415863734297,0.0024520899435292493,0.043617627980252933
C,4,M4,gauss_2node_4moments_lower,0.01975627160580362,0.0038127916961443694,0.047383218837976304,0.018655327090300156,0.0022278292466960683,0.04331253920681883
C,5,M5,zero_radau_3node_5moments_upper,0.01987667946689422,0.003908674764656413,0.04738375716857624,0.018710078262824725,0.0022672261833288744,0.043367290379343476
A,0,M0,ntk_0moments_lower,0.7532046684917171,0.7329181348428221,0.7755536882301193,0.5697300439113643,0.5468311682362383,0.5949353014376287
A,1,M1,zero_radau_1node_1moments_upper,0.09750830612973474,0.07515928639133261,0.11779483977862976,0.07138223056828252,0.046176973042018205,0.09428110624340849
A,2,M2,gauss_1node_2moments_lower,0.018254064982562823,0.012570996212720821,0.048477226294935845,0.011370201974211605,0.008171048622450655,0.02633737780489073
A,3,M3,zero_radau_2node_3moments_upper,0.029394302960228078,0.00938746204855081,0.051802926015387434,0.02554692082678194,0.005727097668944356,0.04844579650190796
M,0,M0,ntk_0moments_lower,0.42576669686314045,0.4047919234765014,0.44907723238752256,0.30980274281277065,0.28525501083479504,0.3357695648705791
M,1,M1,zero_radau_1node_1moments_upper,0.04750292281573304,0.024242429482007576,0.06847769620237189,0.03574622020551455,0.014612568332421534,0.06029395218349016
M,2,M2,gauss_1node_2moments_lower,0.016452279949171075,0.0011765018887344829,0.04678533633947771,0.014413997939500694,0.000621574308653509,0.03896172991747628
M,3,M3,zero_radau_2node_3moments_upper,0.020334292981349672,0.004304356516354478,0.0470996356428539,0.018751795336237297,0.0025912342334255046,0.04329952731421289
M,4,M4,gauss_2node_4moments_lower,0.019495851105839016,0.0038639396158499737,0.047088072290454204,0.01834032155781434,0.0022685539759969096,0.04288805353578991
V,0,M0,ntk_0moments_lower,0.9346489430022893,0.9204744086325815,0.9510861505237581,0.7197719269468963,0.7028774472302378,0.7395383490320631
V,1,M1,zero_radau_1node_1moments_upper,0.11826806148847499,0.10183085396700617,0.13244259585818297,0.08646398346204662,0.06669756137687972,0.10335846317870506
V,2,M2,gauss_1node_2moments_lower,0.04549037143949205,0.03254843005794803,0.06192757896096083,0.025336711444807564,0.020560507554283534,0.03900789773048104
V,3,M3,zero_radau_2node_3moments_upper,0.028895731385467867,0.012774352379376552,0.0437844989157329,0.024047859828732934,0.00797552573540311,0.040942339545391414
V,4,M4,gauss_2node_4moments_lower,0.01757629175818426,0.0028627106787049166,0.041141546105177895,0.016105309423502887,0.001554942958401848,0.03299978914016133
V,5,M5,zero_radau_3node_5moments_upper,0.020252721819962353,0.005846527947575447,0.041232287751236135,0.019186529501026995,0.0038497717106207403,0.03608100921768542
