configuration,metric,from_level,to_level,from_error,to_error,central_margin,margin_ci99_lower,margin_ci99_upper,bootstrap_probability_margin_gt_zero,central_improves
C,sup_absolute_log_error,M0,M1,0.39820935344682074,0.043926197830281594,0.3542831556165391,0.3123027439173058,0.4019089540059195,1.0,True
C,sup_absolute_log_error,M1,M2,0.043926197830281594,0.01696621782342949,0.026959980006852104,0.006415039697345103,0.03004924680936168,0.99805,True
C,sup_absolute_log_error,M2,M3,0.01696621782342949,0.020381354865812263,-0.003415137042382773,-0.006504403844892193,0.00024260233036334147,0.04005,False
C,sup_absolute_log_error,M3,M4,0.020381354865812263,0.01975627160580362,0.0006250832600086416,-8.157132785939318e-06,0.000625083260008678,0.9611,True
C,sup_absolute_log_error,M4,M5,0.01975627160580362,0.01987667946689422,-0.00012040786109059759,-0.000120407861090778,5.383306000876845e-07,0.04085,False
C,mean_absolute_log_error,M0,M1,0.2883452804045326,0.03359538748419253,0.25474989292034006,0.2054354686873028,0.30250515909813214,1.0,True
C,mean_absolute_log_error,M1,M2,0.03359538748419253,0.015494321798945134,0.018101065685247397,0.0013344431053456348,0.018101065685247546,0.99635,True
C,mean_absolute_log_error,M2,M3,0.015494321798945134,0.018960415863734297,-0.003466094064789163,-0.0034660940647892498,0.0034660940647891474,0.0385,False
C,mean_absolute_log_error,M3,M4,0.018960415863734297,0.018655327090300156,0.0003050887734341416,-0.0003050887734341312,0.00030508877343423356,0.9839,True
C,mean_absolute_log_error,M4,M5,0.018655327090300156,0.018710078262824725,-5.4751172524569736e-05,-5.4751172524708513e-05,5.4751172524609634e-05,0.0161,False
A,sup_absolute_log_error,M0,M1,0.7532046684917171,0.09750830612973474,0.6556963623619824,0.6151232950641924,0.7003944018387868,1.0,True
A,sup_absolute_log_error,M1,M2,0.09750830612973474,0.018254064982562823,0.07925424114717192,0.03991870675207249,0.0871865880555227,1.0,True
A,sup_absolute_log_error,M2,M3,0.018254064982562823,0.029394302960228078,-0.011140237977665255,-0.019072584886016014,0.02488715181181964,0.1725,False
A,mean_absolute_log_error,M0,M1,0.5697300439113643,0.07138223056828252,0.49834781334308176,0.4525500619928298,0.5487583283956105,1.0,True
A,mean_absolute_log_error,M1,M2,0.07138223056828252,0.011370201974211605,0.06001202859407092,0.02258346239958904,0.06977048368444738,1.0,True
A,mean_absolute_log_error,M2,M3,0.011370201974211605,0.02554692082678194,-0.014176718852570333,-0.023935173942946808,0.018038492548203444,0.09425,False
M,sup_absolute_log_error,M0,M1,0.42576669686314045,0.04750292281573304,0.3782637740474074,0.3363142272741295,0.42488484509617175,1.0,True
M,sup_absolute_log_error,M1,M2,0.04750292281573304,0.016452279949171075,0.031050642866561964,0.010561646771767415,0.03518353789249798,0.99895,True
M,sup_absolute_log_error,M2,M3,0.016452279949171075,0.020334292981349672,-0.0038820130321785967,-0.008014908058114608,0.00043994929520405345,0.03875,False
M,sup_absolute_log_error,M3,M4,0.020334292981349672,0.019495851105839016,0.0008384418755106558,-1.156335239986539e-05,0.0008384418755108085,0.9636,True
M,mean_absolute_log_error,M0,M1,0.30980274281277065,0.03574622020551455,0.2740565226072561,0.2249610586513049,0.3210886581908143,1.0,True
M,mean_absolute_log_error,M1,M2,0.03574622020551455,0.014413997939500694,0.021332222266013858,0.003128082561456948,0.021332222266014028,0.997,True
M,mean_absolute_log_error,M2,M3,0.014413997939500694,0.018751795336237297,-0.004337797396736603,-0.004337797396736718,0.004337797396736617,0.0406,False
M,mean_absolute_log_error,M3,M4,0.018751795336237297,0.01834032155781434,0.00041147377842295704,-0.00041147377842295704,0.0004114737784230646,0.98455,True
V,sup_absolute_log_error,M0,M1,0.9346489430022893,0.11826806148847499,0.8163808815138143,0.7880318127743985,0.849255296556752,1.0,True
V,sup_absolute_log_error,M1,M2,0.11826806148847499,0.04549037143949205,0.07277769004898293,0.039903275006045354,0.09941087038031156,1.0,True
V,sup_absolute_log_error,M2,M3,0.04549037143949205,0.028895731385467867,0.016594640054024182,-0.010038540277304378,0.04928740374618901,0.927,True
V,sup_absolute_log_error,M3,M4,0.028895731385467867,0.01757629175818426,0.011319439627283608,0.0004980487256724675,0.014592433586647448,0.99745,True
V,sup_absolute_log_error,M4,M5,0.01757629175818426,0.020252721819962353,-0.0026764300617780935,-0.005949424021141905,9.074164605811334e-05,0.01115,False
V,mean_absolute_log_error,M0,M1,0.7197719269468963,0.08646398346204662,0.6333079434848496,0.5995189840515328,0.6728407876551834,1.0,True
V,mean_absolute_log_error,M1,M2,0.08646398346204662,0.025336711444807564,0.061127272017239054,0.027689663646398688,0.08003782086475357,1.0,True
V,mean_absolute_log_error,M2,M3,0.025336711444807564,0.024047859828732934,0.0012888516160746294,-0.017621697231439908,0.03092012905517008,0.5577,True
V,mean_absolute_log_error,M3,M4,0.024047859828732934,0.016105309423502887,0.007942550405230047,0.004426656013647045,0.00794255040523015,0.9987,True
V,mean_absolute_log_error,M4,M5,0.016105309423502887,0.019186529501026995,-0.0030812200775241078,-0.003081220077524177,-0.00028892011929115363,0.0045,False
