all_depth_gram_difference,comparison,fine_model_gram_error,fine_model_output_error,gram_ratio_to_model_error,horizon,method,output_difference,output_ratio_to_model_error,resolved_at_dt_0.01
3.195479560195435e-07,dt_0.02_vs_0.005,,,,8.0,exact,1.7495458209432865e-07,,
1.8337435292720485e-08,dt_0.01_vs_0.005,,,,8.0,exact,1.0074543906168679e-08,,
3.153427902504144e-07,dt_0.02_vs_0.005,0.0014806729571948272,0.00032720975719960664,0.00021297261405235589,8.0,K1,1.641117118857165e-07,0.0005015489552947653,
1.8122374665594432e-08,dt_0.01_vs_0.005,0.0014806729571948272,0.00032720975719960664,1.2239282535373465e-05,8.0,K1,9.439223810897282e-09,2.8847623285081638e-05,True
3.1467812273227234e-07,dt_0.02_vs_0.005,0.00016398310241394972,1.1453868550803369e-05,0.0019189667599891884,8.0,K2,1.636737493615367e-07,0.014289822572658798,
1.8081810729618572e-08,dt_0.01_vs_0.005,0.00016398310241394972,1.1453868550803369e-05,0.00011026630465847552,8.0,K2,9.412843869879245e-09,0.0008218047752275831,True
3.146871728399481e-07,dt_0.02_vs_0.005,7.763239299608266e-06,1.000681933093081e-06,0.04053554974865031,8.0,K3,1.636541649154183e-07,0.16354263977722436,
1.8082277883034126e-08,dt_0.01_vs_0.005,7.763239299608266e-06,1.000681933093081e-06,0.0023292181504628562,8.0,K3,9.41171205228346e-09,0.009405298268144114,True
