A,actual_compiled_liouville_pde_run,code_sha256,config_sha256,depth,dt,duration,exact_final_loss,exact_gram_motion,exact_initial_loss,exact_min_theta,exact_plateau_candidate,exact_plateau_validated,gamma,gram_error_depth_index,gram_error_time,group,horizon,integrator,l1_all_depth_gram_error,l1_output_error,max_loss_increase_per_sample,method,model,motion_normalized_gram_error,n,normalized_output_error,order,output_error_time,restart_time,run_id,seed,sigma_w,sup_adjoint_defect,sup_all_depth_gram_error,sup_diagonal_gram_error,sup_forward_defect,sup_kernel_identity_defect,sup_loss_error,sup_mid_gram_error,sup_offdiagonal_gram_error,sup_output_error,sup_terminal_constraint_defect,sup_terminal_gram_error,sup_theta_error,surrogate,surrogate_plateau_candidate,surrogate_plateau_validated,tail_sup_all_depth_gram_error,tail_sup_output_error,terminal_all_depth_gram_error,terminal_output_error,training
1.0,False,91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,bb3614edc1904aec5edaaa8ca3b1b0e28f5ea017f29cbb079c5ebdfcd74bf439,16,0.02,32.0,0.0,0.6513506291020049,0.7429809899240877,2.3322199858971047,8.0,32.0,1.0,13,10.52,central,32.0,fixed-step classical RK4,0.0026983675687835616,7.353876877940314e-06,0.0,K2,dense unconstrained 1/L residual tanh ResNet,0.00013067575427678577,64,8.116608564600978e-06,2,0.4,0.0,central_n64_L16_s3_sw0p65_A1_g1_r0_dt0p02,3,0.65,5.828320053045633e-05,8.511573475656341e-05,6.41608990697078e-05,3.6411400518681406e-05,6.949384802843584e-05,3.5749645556915066e-06,5.073251532331728e-05,6.841399745051777e-05,9.894149102366222e-06,0.0,6.262224640776191e-05,0.00010624265308683285,coupled q/r finite-matrix response projection,8.0,32.0,8.51157347559094e-05,2.7755575615628914e-16,8.511573475579638e-05,0.0,ordinary Euclidean muP gradient flow
1.0,False,91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,bb3614edc1904aec5edaaa8ca3b1b0e28f5ea017f29cbb079c5ebdfcd74bf439,16,0.02,32.0,0.0,0.6513506291020049,0.7429809899240877,2.3322199858971047,8.0,32.0,1.0,11,3.84,central,32.0,fixed-step classical RK4,0.0001641192602498069,3.8395986615646466e-07,9.706686919711669e-32,K3,dense unconstrained 1/L residual tanh ResNet,7.941328053731777e-06,64,4.389530167240495e-07,3,0.32,0.0,central_n64_L16_s3_sw0p65_A1_g1_r0_dt0p02,3,0.65,3.244243549054557e-06,5.172589023703593e-06,4.1943718254106236e-06,1.994133157243545e-06,4.847826477188963e-06,1.8865671863599331e-07,2.4618471626704622e-06,3.066348728769437e-06,5.35083903804681e-07,0.0,2.4473436126315178e-06,5.919797613490153e-06,coupled q/r finite-matrix response projection,8.0,32.0,5.172586628821085e-06,2.5438405243138006e-16,5.172586628694834e-06,5.551115123125783e-17,ordinary Euclidean muP gradient flow
1.0,False,91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,e4d4fc49131cf3f54f329ba6b1540a75bdecbc874202d642ed7ec06b31d53442,16,0.02,32.0,7.703719777548943e-33,0.5779858717461742,0.720778696400766,2.0798751784575376,16.0,32.0,1.0,13,1.4000000000000001,central,32.0,fixed-step classical RK4,0.3175369673067928,0.005782824510891192,0.0,K0,dense unconstrained 1/L residual tanh ResNet,0.017617067982844264,64,0.00507016731763693,0,0.48,0.0,central_n64_L16_s4_sw0p65_A1_g1_r0_dt0p02,4,0.65,0.013071557806696249,0.010182416395675856,0.00702375638892975,0.008164408432217213,0.03676552110298317,0.002005053187473821,0.0034768586855083604,0.008859336830064317,0.0060874899929332215,0.0,0.009669990799375751,0.02671890270499182,coupled q/r finite-matrix response projection,16.0,32.0,0.009967274990944455,1.5700924586837752e-16,0.009967274990944398,5.551115123125783e-17,ordinary Euclidean muP gradient flow
1.0,False,91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,e4d4fc49131cf3f54f329ba6b1540a75bdecbc874202d642ed7ec06b31d53442,16,0.02,32.0,7.703719777548943e-33,0.5779858717461742,0.720778696400766,2.0798751784575376,16.0,32.0,1.0,12,11.88,central,32.0,fixed-step classical RK4,0.04706798524389409,0.00017759167912194252,1.8488927466117464e-32,K1,dense unconstrained 1/L residual tanh ResNet,0.002561771397472322,64,0.0002725358334027109,1,0.24,0.0,central_n64_L16_s4_sw0p65_A1_g1_r0_dt0p02,4,0.65,0.0011748338495964096,0.001480667674382455,0.0010447033982198424,0.0006259809974525916,0.0019815724686079827,0.00019976788109571375,0.0007936219259796144,0.0011415355802607396,0.0003272198045187908,0.0,0.0008318767080480994,0.002243065002997196,coupled q/r finite-matrix response projection,16.0,32.0,0.001480667674381595,1.6653345369377348e-16,0.0014806676743813825,5.551115123125783e-17,ordinary Euclidean muP gradient flow
1.0,False,91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,e4d4fc49131cf3f54f329ba6b1540a75bdecbc874202d642ed7ec06b31d53442,16,0.02,32.0,7.703719777548943e-33,0.5779858717461742,0.720778696400766,2.0798751784575376,16.0,32.0,1.0,14,4.28,central,32.0,fixed-step classical RK4,0.005200749412617514,8.304771794464078e-06,4.3140830754274083e-32,K2,dense unconstrained 1/L residual tanh ResNet,0.0002837355298419326,64,9.546908092720314e-06,2,0.2,0.0,central_n64_L16_s4_sw0p65_A1_g1_r0_dt0p02,4,0.65,7.257539480855444e-05,0.00016399512756105206,0.00011013337785428613,3.343789927630434e-05,0.00014537898123442023,8.133920513575532e-06,5.344010191230057e-05,0.00012188269173614883,1.1462483156270817e-05,0.0,0.00012662181904429082,0.0002810659256051248,coupled q/r finite-matrix response projection,16.0,32.0,0.00016399510769693742,2.5438405243138006e-16,0.00016399510769676628,1.2412670766236366e-16,ordinary Euclidean muP gradient flow
1.0,False,91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,e4d4fc49131cf3f54f329ba6b1540a75bdecbc874202d642ed7ec06b31d53442,16,0.02,32.0,7.703719777548943e-33,0.5779858717461742,0.720778696400766,2.0798751784575376,16.0,32.0,1.0,16,1.28,central,32.0,fixed-step classical RK4,0.00024546194647245807,7.651666878794661e-07,4.930380657631324e-32,K3,dense unconstrained 1/L residual tanh ResNet,1.3436110513882e-05,64,8.427594866743509e-07,3,0.28,0.0,central_n64_L16_s4_sw0p65_A1_g1_r0_dt0p02,4,0.65,3.7538716415640965e-06,7.765882048244024e-06,6.080939325001105e-06,2.1547348918144446e-06,9.5916847479218e-06,5.874174304754121e-07,9.22296208643155e-07,4.965567774651032e-06,1.011858114372987e-06,0.0,7.765882048244024e-06,1.3955327764787394e-05,coupled q/r finite-matrix response projection,16.0,32.0,7.724754160061397e-06,2.5438405243138006e-16,7.724754159952004e-06,5.551115123125783e-17,ordinary Euclidean muP gradient flow
1.0,False,91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,6da0ada455039df8420e0e657fb3ff9f34c16118ea205960c798fbf6390bd4a4,16,0.02,32.0,1.3866695599588098e-32,0.6351561251610822,0.5474199924969121,2.516105066550061,8.0,32.0,1.0,16,0.88,central,32.0,fixed-step classical RK4,0.778825555335089,0.007465196105136474,6.162975822039155e-33,K0,dense unconstrained 1/L residual tanh ResNet,0.043444894077704584,64,0.008335785657258869,0,0.6,0.0,central_n64_L16_s5_sw0p65_A1_g1_r0_dt0p02,5,0.65,0.011757718547424446,0.027594290580428494,0.009042463384268618,0.008428051336483429,0.028736222854382307,0.0024237568360505612,0.008870184438934054,0.026288484355057394,0.0087221161118852,0.0,0.027594290580428494,0.07423988466875268,coupled q/r finite-matrix response projection,8.0,32.0,0.02450366606169636,2.5438405243138006e-16,0.024503666061696336,1.2412670766236366e-16,ordinary Euclidean muP gradient flow
1.0,False,91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,6da0ada455039df8420e0e657fb3ff9f34c16118ea205960c798fbf6390bd4a4,16,0.02,32.0,1.3866695599588098e-32,0.6351561251610822,0.5474199924969121,2.516105066550061,8.0,32.0,1.0,16,1.28,central,32.0,fixed-step classical RK4,0.07023951212388206,0.00018068774596611848,2.0029671421627253e-32,K1,dense unconstrained 1/L residual tanh ResNet,0.0035200564580059315,64,0.00021559705954285328,1,0.2,0.0,central_n64_L16_s5_sw0p65_A1_g1_r0_dt0p02,5,0.65,0.000993788614978095,0.002235785420215291,0.0009508026621077789,0.0006423641662849311,0.0024130661347619427,0.00014796615029624705,0.0006595633231278762,0.0022107237566810034,0.00022558912429283392,0.0,0.002235785420215291,0.004204174314923237,coupled q/r finite-matrix response projection,8.0,32.0,0.0022190920345599332,2.482534153247273e-16,0.002219092034559865,1.5700924586837752e-16,ordinary Euclidean muP gradient flow
1.0,False,91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,6da0ada455039df8420e0e657fb3ff9f34c16118ea205960c798fbf6390bd4a4,16,0.02,32.0,1.3866695599588098e-32,0.6351561251610822,0.5474199924969121,2.516105066550061,8.0,32.0,1.0,15,0.96,central,32.0,fixed-step classical RK4,0.004778186020354489,1.980332584828357e-05,1.8488927466117464e-32,K2,dense unconstrained 1/L residual tanh ResNet,0.0002430070313167144,64,2.2333697735167025e-05,2,0.48,0.0,central_n64_L16_s5_sw0p65_A1_g1_r0_dt0p02,5,0.65,6.923594887110282e-05,0.00015434740439802209,7.375742529202088e-05,4.14131205133301e-05,3.886348564757587e-05,7.616999074311348e-06,4.738103884957974e-05,0.00013637219572388992,2.336877564554979e-05,0.0,0.00014732074962438884,0.0003430052162502372,coupled q/r finite-matrix response projection,8.0,32.0,0.0001503983145543727,3.188872858294072e-16,0.00015039831455416006,1.6653345369377348e-16,ordinary Euclidean muP gradient flow
1.0,False,91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,6da0ada455039df8420e0e657fb3ff9f34c16118ea205960c798fbf6390bd4a4,16,0.02,32.0,1.3866695599588098e-32,0.6351561251610822,0.5474199924969121,2.516105066550061,8.0,32.0,1.0,16,1.8,central,32.0,fixed-step classical RK4,0.00016091806967443567,6.514314445489561e-07,0.0,K3,dense unconstrained 1/L residual tanh ResNet,7.990308666261033e-06,64,7.50092575571862e-07,3,0.4,0.0,central_n64_L16_s5_sw0p65_A1_g1_r0_dt0p02,5,0.65,3.376324508860981e-06,5.075093491303373e-06,4.1692569379806795e-06,2.2748318093514686e-06,4.644982300987398e-06,3.4113084540488003e-07,1.4336449643589605e-06,3.310842589647913e-06,7.848563780072289e-07,0.0,5.075093491303373e-06,1.0141155016480917e-05,coupled q/r finite-matrix response projection,8.0,32.0,5.072621823786117e-06,3.554447978966673e-16,5.072621823756954e-06,1.6653345369377348e-16,ordinary Euclidean muP gradient flow
