epsilon,group,horizon,minimum_order,run_id
0.001,control,4.0,2,control_n32_L8_s15_sw0p65_A1_g1_r0_dt0p01
0.0001,control,4.0,,control_n32_L8_s15_sw0p65_A1_g1_r0_dt0p01
1e-05,control,4.0,,control_n32_L8_s15_sw0p65_A1_g1_r0_dt0p01
0.01,depth,4.0,1,depth_n64_L32_s8_sw0p65_A1_g1_r0_dt0p02
0.001,depth,4.0,1,depth_n64_L32_s8_sw0p65_A1_g1_r0_dt0p02
0.0001,depth,4.0,2,depth_n64_L32_s8_sw0p65_A1_g1_r0_dt0p02
1e-05,depth,4.0,3,depth_n64_L32_s8_sw0p65_A1_g1_r0_dt0p02
0.01,depth,8.0,1,depth_n64_L32_s8_sw0p65_A1_g1_r0_dt0p02
0.001,depth,8.0,1,depth_n64_L32_s8_sw0p65_A1_g1_r0_dt0p02
0.0001,depth,8.0,2,depth_n64_L32_s8_sw0p65_A1_g1_r0_dt0p02
1e-05,depth,8.0,3,depth_n64_L32_s8_sw0p65_A1_g1_r0_dt0p02
0.01,depth,16.0,1,depth_n64_L32_s8_sw0p65_A1_g1_r0_dt0p02
0.001,depth,16.0,1,depth_n64_L32_s8_sw0p65_A1_g1_r0_dt0p02
0.0001,depth,16.0,2,depth_n64_L32_s8_sw0p65_A1_g1_r0_dt0p02
1e-05,depth,16.0,3,depth_n64_L32_s8_sw0p65_A1_g1_r0_dt0p02
0.01,depth,32.0,1,depth_n64_L32_s8_sw0p65_A1_g1_r0_dt0p02
0.001,depth,32.0,1,depth_n64_L32_s8_sw0p65_A1_g1_r0_dt0p02
0.0001,depth,32.0,2,depth_n64_L32_s8_sw0p65_A1_g1_r0_dt0p02
1e-05,depth,32.0,3,depth_n64_L32_s8_sw0p65_A1_g1_r0_dt0p02
0.01,depth,4.0,1,depth_n64_L8_s8_sw0p65_A1_g1_r0_dt0p02
0.001,depth,4.0,2,depth_n64_L8_s8_sw0p65_A1_g1_r0_dt0p02
0.0001,depth,4.0,3,depth_n64_L8_s8_sw0p65_A1_g1_r0_dt0p02
1e-05,depth,4.0,,depth_n64_L8_s8_sw0p65_A1_g1_r0_dt0p02
0.01,depth,8.0,1,depth_n64_L8_s8_sw0p65_A1_g1_r0_dt0p02
0.001,depth,8.0,2,depth_n64_L8_s8_sw0p65_A1_g1_r0_dt0p02
0.0001,depth,8.0,3,depth_n64_L8_s8_sw0p65_A1_g1_r0_dt0p02
1e-05,depth,8.0,,depth_n64_L8_s8_sw0p65_A1_g1_r0_dt0p02
0.01,depth,16.0,1,depth_n64_L8_s8_sw0p65_A1_g1_r0_dt0p02
0.001,depth,16.0,2,depth_n64_L8_s8_sw0p65_A1_g1_r0_dt0p02
0.0001,depth,16.0,3,depth_n64_L8_s8_sw0p65_A1_g1_r0_dt0p02
1e-05,depth,16.0,,depth_n64_L8_s8_sw0p65_A1_g1_r0_dt0p02
0.01,depth,32.0,1,depth_n64_L8_s8_sw0p65_A1_g1_r0_dt0p02
0.001,depth,32.0,2,depth_n64_L8_s8_sw0p65_A1_g1_r0_dt0p02
0.0001,depth,32.0,3,depth_n64_L8_s8_sw0p65_A1_g1_r0_dt0p02
1e-05,depth,32.0,,depth_n64_L8_s8_sw0p65_A1_g1_r0_dt0p02
0.01,neighborhood,4.0,1,neighborhood_n64_L16_s11_sw0p6_A0p95_g1p05_r0_dt0p02
0.001,neighborhood,4.0,2,neighborhood_n64_L16_s11_sw0p6_A0p95_g1p05_r0_dt0p02
0.0001,neighborhood,4.0,2,neighborhood_n64_L16_s11_sw0p6_A0p95_g1p05_r0_dt0p02
1e-05,neighborhood,4.0,3,neighborhood_n64_L16_s11_sw0p6_A0p95_g1p05_r0_dt0p02
0.01,neighborhood,8.0,1,neighborhood_n64_L16_s11_sw0p6_A0p95_g1p05_r0_dt0p02
0.001,neighborhood,8.0,2,neighborhood_n64_L16_s11_sw0p6_A0p95_g1p05_r0_dt0p02
0.0001,neighborhood,8.0,2,neighborhood_n64_L16_s11_sw0p6_A0p95_g1p05_r0_dt0p02
1e-05,neighborhood,8.0,3,neighborhood_n64_L16_s11_sw0p6_A0p95_g1p05_r0_dt0p02
0.01,neighborhood,16.0,1,neighborhood_n64_L16_s11_sw0p6_A0p95_g1p05_r0_dt0p02
