reference,scheme,replicates,observed_P5_minus_P15,bootstrap_ci95_lower,bootstrap_median,bootstrap_ci95_upper,classification_for_scheme
E256_L32_S128,pooled,2000,-0.00195869273559852,-0.002175666072589638,-0.0019193285387143696,-0.0011135912873214233,P15_farther
E256_L32_S128,stratified,2000,-0.00195869273559852,-0.002183797309789205,-0.0019289872046890665,-0.0012996963046573357,P15_farther
E256_L64_S64,pooled,2000,-0.001917199875970557,-0.0022975541921753505,-0.0018472621510070117,-0.00041202841680471844,P15_farther
E256_L64_S64,stratified,2000,-0.001917199875970557,-0.002296336819880438,-0.001858490350479509,-0.00039340834771344494,P15_farther
E512_L32_S16,pooled,2000,-0.0018327471105979449,-0.0025048672005475708,-0.001733840561423521,-0.0012893713423050726,P15_farther
