scheme,metric,replicates,observed_pde_gap,bootstrap_q90,bootstrap_q95,bootstrap_q99,observed_over_q95,centered_bootstrap_tail_probability,resolved_at_5pct
pooled,output_sup,2000,0.010752997608040587,0.013961672623950424,0.01534665648761926,0.018870344396624224,0.7006736364181635,0.29235382308845576,False
pooled,output_sup_after_t0,2000,0.009462677636536012,0.0126270328009276,0.013883544822080963,0.01693588016036252,0.6815750413746048,0.3148425787106447,False
pooled,loss_of_mean_sup,2000,0.0018456582720173254,0.009356902824059233,0.0108664747619018,0.014700041157415059,0.16984885277498282,0.7961019490254873,False
pooled,gram_absolute_sup,2000,0.019407504276630565,0.026750706320248646,0.02920391041543168,0.03316758608664989,0.6645515617790492,0.463768115942029,False
pooled,gram_increment_sup,2000,0.007243343266500024,0.004451735171668772,0.005016736771797487,0.006149854177395832,1.443835623830179,0.0034982508745627187,True
pooled,theta_sup,2000,0.03340430967791031,0.052529518832595705,0.059052932427678666,0.07067239568311445,0.5656672463949207,0.5317341329335332,False
stratified,output_sup,2000,0.010752997608040587,0.014153388928785936,0.015683415950992728,0.019043731087083415,0.6856285417437994,0.2978510744627686,False
stratified,output_sup_after_t0,2000,0.009462677636536012,0.01278864128164437,0.014105131776322563,0.017063719210948704,0.6708677229389973,0.31384307846076964,False
stratified,loss_of_mean_sup,2000,0.0018456582720173254,0.009233756232236257,0.010933029457961072,0.014610292944472098,0.16881489975986277,0.7811094452773614,False
stratified,gram_absolute_sup,2000,0.019407504276630565,0.02687840779939905,0.028979278551364673,0.03242677938006589,0.6697028099658001,0.4662668665667166,False
stratified,gram_increment_sup,2000,0.007243343266500024,0.004359102632658182,0.004940060683553496,0.006057467165269684,1.4662458075899027,0.001999000499750125,True
stratified,theta_sup,2000,0.03340430967791031,0.05130037446159947,0.058858107021584734,0.07249784854058929,0.5675396537245093,0.5317341329335332,False
