pool,blocks,seeds,output_sup,output_sup_after_t0,loss_of_mean_sup,gram_absolute_sup,gram_absolute_terminal,gram_increment_sup,gram_increment_terminal,theta_sup,pde_terminal_feature_motion,reference_terminal_feature_motion,gram_increment_fraction_pde_motion
seed6000_S32,seed6000_S32,32,0.007974079763650211,0.006357989508960006,0.0009250140091780212,0.03138711948030551,0.027515134670240148,0.008075688118440713,0.008075688118440713,0.04735902557805547,0.6338011211613804,0.6401448730403688,0.012741675343904064
seed8000_S32,seed8000_S32,32,0.02628663756120978,0.023020800338173088,0.0033217631602719955,0.02841885714706545,0.02841885714705858,0.006165430902000099,0.0055656622799596794,0.061016075047717354,0.6338011211613804,0.6383451800308548,0.009727705894086353
seed10000_S64,seed10000_S64,64,0.010018316671372651,0.009376607886121907,0.005109407452853709,0.019437890366241044,0.01804450294441906,0.007855326683926937,0.007855326683926937,0.0313398332763322,0.6338011211613804,0.6405764211660426,0.012393993039224664
existing_seed6000_8000_S64,seed6000_S32;seed8000_S32,64,0.017075014944239644,0.014655021383400671,0.0014984253533976144,0.027867026247455448,0.026486587966331673,0.006731083952815521,0.006731083952815521,0.05112860118231206,0.6338011211613804,0.6392434782599088,0.010620183095418715
full_seed6000_8000_10000_S128,seed6000_S32;seed8000_S32;seed10000_S64,128,0.010752997608040587,0.009462677636536012,0.0018456582720173254,0.019407504276630565,0.018788396123470764,0.007243343266500024,0.007243343266500024,0.03340430967791031,0.6338011211613804,0.639909483539111,0.011428416619439366
leave_out_seed6000_S96,seed8000_S32;seed10000_S64,96,0.012097497943743561,0.01089683204104811,0.0023744626289172732,0.017644947772315588,0.017644905761445718,0.007041853474542788,0.007041853474542788,0.031464533308291694,0.6338011211613804,0.6398320732208438,0.011110509652679786
leave_out_seed8000_S96,seed6000_S32;seed10000_S64,96,0.007620889486766351,0.006887940554051721,0.0035010131904887887,0.018445130452386237,0.01703513494714363,0.00785249460246426,0.00785249460246426,0.02780311570249491,0.6338011211613804,0.6404316557731194,0.01238952463207277
leave_out_seed10000_S64,seed6000_S32;seed8000_S32,64,0.017075014944239644,0.014655021383400671,0.0014984253533976144,0.027867026247455448,0.026486587966331673,0.006731083952815521,0.006731083952815521,0.05112860118231206,0.6338011211613804,0.6392434782599088,0.010620183095418715
