comparison,direct,first,restart,overlap_start,overlap_end,time_points_compared,output_max_l2,output_rms_l2,output_terminal_l2,output_max_abs_component,output_initial_l2,output_time_of_max_l2,output_initial_centered_max_l2,output_initial_centered_rms_l2,output_initial_centered_terminal_l2,loss_max_abs,loss_terminal_abs,depth_interpolated,depth_points_compared,gram_max_fro,gram_rms_fro,gram_terminal_max_fro,gram_max_abs_entry,gram_initial_max_fro,gram_time_of_max_fro,gram_depth_fraction_of_max_fro,gram_initial_centered_max_fro,gram_initial_centered_rms_fro,gram_initial_centered_terminal_max_fro,theta_max_fro,theta_rms_fro,theta_terminal_fro,theta_max_abs_entry,theta_initial_fro,theta_initial_centered_max_fro,theta_initial_centered_terminal_fro,final_B_max_abs,final_a_max_abs,final_c_max_abs,note
direct_T2_vs_serialized_T1_plus_restart_T1,pde_QMC_P5_N8_M64_R16_s20260723_dt0p02_T2.npz,pde_P5_N8_M64_R16_s20260723_dt0p02_T1.npz,pde_QMC_P5_N8_M64_R16_s20260723_dt0p02_T1_from1_to2.npz,0.0,2.0,51,3.4219371797089426e-16,1.5899976381654304e-16,5.551115123125783e-17,3.3306690738754696e-16,4.0625223226880576e-17,0.6,3.4219371797089426e-16,1.594673255948067e-16,5.551115123125783e-17,5.551115123125783e-17,2.1440521477374477e-21,False,9,6.295684097498008e-16,1.861535782336115e-16,3.3766115072321297e-16,4.440892098500626e-16,0.0,1.68,0.875,6.295684097498008e-16,1.861535782336115e-16,3.3766115072321297e-16,1.93931843579114e-15,6.214868279192895e-16,4.726604209672303e-16,1.3322676295501878e-15,0.0,1.93931843579114e-15,4.726604209672303e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,
serialized_restart_only_no_direct_T0p4_control,,pde_QMC_P5_N4_M32_R16_s4321_dt0p02_T0p2.npz,pde_QMC_P5_N4_M32_R16_s4321_dt0p02_T0p2_from0p2_to0p4.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No direct 0-to-0.4 archive was present; this pair cannot quantify a semigroup defect.
