sup_output_l2_error,sup_all_depth_gram_fro_error,final_output_l2_error,final_all_depth_gram_fro_error,min_reconstructed_psd_kernel_eigenvalue,order,horizon,reference_final_loss,reference_residual_L1
0.03066881458206646,0.07180766446297118,0.03066881458206646,0.07180766446297118,1.5281197331367686,1,0.4,0.10598578776188183,0.31065058954885977
0.03066881458206646,0.07640591182125114,0.016703286497800368,0.07231697665265485,1.439566100282019,1,0.8,0.013499981330067579,0.42574518630021596
0.03066881458206646,0.07640591182125114,0.0033603106314290493,0.06315815623941948,1.4246822835728277,1,1.6,0.0003194501258694925,0.4833510841410874
0.03066881458206646,0.07640591182125114,0.00014314255644119056,0.06055302869400271,1.4246822835728277,1,3.2,1.3944667348539758e-06,0.4965212847409903
0.00460168197501863,0.0055751701435695225,0.0044988358029736985,0.0055751701435695225,1.665472667752761,2,0.4,0.10598578776188183,0.31065058954885977
0.00460168197501863,0.006206581271386249,0.001862953941427563,0.006206581271386249,1.5487088841171972,2,0.8,0.013499981330067579,0.42574518630021596
0.00460168197501863,0.006357435091997915,0.0004050815057613182,0.006106197820780029,1.5310662756462505,2,1.6,0.0003194501258694925,0.4833510841410874
0.00460168197501863,0.006357435091997915,6.208851013027173e-06,0.005814356109924777,1.5310662756462505,2,3.2,1.3944667348539758e-06,0.4965212847409903
1.475430480723898e-05,0.00013930051190197537,1.0519021783925846e-05,9.504621271680925e-05,1.6844082612288804,4,0.4,0.10598578776188183,0.31065058954885977
1.475430480723898e-05,0.00013930051190197537,1.3011597245445812e-05,4.3784092699751324e-05,1.560747806167853,4,0.8,0.013499981330067579,0.42574518630021596
1.475430480723898e-05,0.00013930051190197537,4.964392823775797e-06,3.465344343450963e-05,1.543239862076198,4,1.6,0.0003194501258694925,0.4833510841410874
1.475430480723898e-05,0.00013930051190197537,7.65441771711216e-07,3.525843084285965e-05,1.543239862076198,4,3.2,1.3944667348539758e-06,0.4965212847409903
3.2292282686760544e-07,2.2178360915680037e-06,3.2292282686760544e-07,2.2178360915680037e-06,1.6849348362414145,6,0.4,0.10598578776188183,0.31065058954885977
3.2292282686760544e-07,2.2178360915680037e-06,2.848215464578194e-07,1.9314605013365133e-06,1.5612296892776891,6,0.8,0.013499981330067579,0.42574518630021596
3.2292282686760544e-07,2.2178360915680037e-06,1.096893074591522e-07,1.5924272210415927e-06,1.543714641871741,6,1.6,0.0003194501258694925,0.4833510841410874
3.2292282686760544e-07,2.2178360915680037e-06,8.56259874438521e-09,1.4607899641210957e-06,1.543714641871741,6,3.2,1.3944667348539758e-06,0.4965212847409903
5.574957094760572e-09,1.2401805691262323e-08,5.335520826010184e-09,1.2162876166938598e-08,1.6849347982124434,8,0.4,0.10598578776188183,0.31065058954885977
5.574957094760572e-09,1.2401805691262323e-08,1.3595761384418278e-09,6.666355309964248e-09,1.561229693421381,8,0.8,0.013499981330067579,0.42574518630021596
5.574957094760572e-09,1.2401805691262323e-08,1.0523083186473507e-10,5.0230695002261615e-09,1.5437150171456693,8,1.6,0.0003194501258694925,0.4833510841410874
5.574957094760572e-09,1.2401805691262323e-08,2.865786867138545e-11,4.900650293694301e-09,1.5437150171456693,8,3.2,1.3944667348539758e-06,0.4965212847409903
