tag,order,adjoint_rms_error,adjoint_relative_rms_error,kernel_fro_error,reconstructed_psd_kernel_action_error,reconstructed_psd_kernel_min_eigenvalue,exact_kernel_min_eigenvalue
iid_generic,0,0.2685500369735677,0.17608359502959592,1.2171540859970547,0.02096577096724313,0.8845072805519408,1.224810451918943
iid_generic,1,0.026745093264681122,0.017536293141193676,0.1767371609392158,0.0024931667304826026,1.1840729632559677,1.224810451918943
iid_generic,2,0.0017612112533609918,0.001154795629869557,0.012954349166881108,0.00016478116824119622,1.2224430297121966,1.224810451918943
iid_generic,4,3.19258665608622e-06,2.093323621111656e-06,2.6142181655180022e-05,2.495392728543418e-07,1.2248080011603313,1.224810451918943
iid_generic,6,5.551973170530005e-09,3.6403323804830063e-09,3.080976181908826e-08,2.6261235163368865e-10,1.2248104518875111,1.224810451918943
iid_generic,8,1.1261104063706663e-11,7.383710350168484e-12,3.7384950719560355e-11,5.446057506497838e-13,1.2248104519244407,1.224810451918943
iid_generic,10,1.4291005098627606e-14,9.370363835028308e-15,1.5408900708265251e-13,1.3032052171452834e-15,1.2248104519189478,1.224810451918943
