L,var_t0,se_t0,var_t0p5,se_t0p5
8.000000000000000000e+00,3.155583873448929849e-02,6.516501166714908653e-04,3.754821544909654057e-02,6.863531194749586872e-04
1.600000000000000000e+01,1.490440162377631994e-02,2.841765041988992364e-04,1.783476779703159487e-02,3.224076512401998201e-04
3.200000000000000000e+01,7.647359540500722579e-03,1.916479738124646703e-04,9.212302977539154128e-03,1.948042949909393909e-04
6.400000000000000000e+01,3.739791274034990568e-03,8.306085910271544771e-05,4.601167481044694287e-03,1.224888949730924587e-04
