code_sha256,config_sha256,depth,dt,gram_error_depth_index,gram_error_time,gram_prefix_increment,group,horizon,l1_all_depth_gram_error,l1_output_error,max_loss_increase_per_sample,method,motion_normalized_gram_error,n,normalized_output_error,order,output_error_time,output_prefix_increment,run_id,seed,sup_adjoint_defect,sup_all_depth_gram_error,sup_diagonal_gram_error,sup_forward_defect,sup_kernel_identity_defect,sup_loss_error,sup_mid_gram_error,sup_offdiagonal_gram_error,sup_output_error,sup_terminal_constraint_defect,sup_terminal_gram_error,sup_theta_error,tail_sup_all_depth_gram_error,tail_sup_output_error,terminal_all_depth_gram_error,terminal_output_error
91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,0215196437e28b99e7aebfc3c17f96f18155e8431c97d425121df65688930558,16,0.02,13,0.88,,central,4.0,0.07652336702548868,0.009161308796974233,0.0,K0,0.03223260346293525,64,0.00956978616927612,0,0.68,,central_n64_L16_s1_sw0p65_A1_g1_r0_dt0p02,1,0.012345749606201169,0.022126177263469382,0.015286391744209954,0.009080304381422535,0.03299728779364031,0.002604822396867844,0.02038163880165287,0.01599998038130573,0.009575932087228397,0.0,0.01692941889155132,0.04836813337927433,0.020471880408862685,0.0005797737420094446,0.020471880408862685,2.524447214541781e-06
91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,0215196437e28b99e7aebfc3c17f96f18155e8431c97d425121df65688930558,16,0.02,13,0.88,0.0,central,8.0,0.15841337788394097,0.00916225521040251,0.0,K0,0.032232568653982684,64,0.009569778204452695,0,0.68,0.0,central_n64_L16_s1_sw0p65_A1_g1_r0_dt0p02,1,0.012345762801129092,0.022126177263469382,0.015286391744209954,0.009080321971433802,0.03299728779364031,0.002604822396867844,0.02038163880165287,0.01599998038130573,0.009575932087228397,0.0,0.01692941889155132,0.04836813337927433,0.020472566309207817,2.524447214541781e-06,0.020472566309207817,5.688297782566616e-11
91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,0215196437e28b99e7aebfc3c17f96f18155e8431c97d425121df65688930558,16,0.02,13,0.88,0.0,central,16.0,0.3221939084356671,0.009162255231550474,0.0,K0,0.03223256865393793,64,0.009569778204427608,0,0.68,0.0,central_n64_L16_s1_sw0p65_A1_g1_r0_dt0p02,1,0.012345762801246113,0.022126177263469382,0.015286391744209954,0.009080321971601878,0.03299728779364031,0.002604822396867844,0.02038163880165287,0.01599998038130573,0.009575932087228397,0.0,0.01692941889155132,0.04836813337927433,0.020472566319421282,5.688297782566616e-11,0.02047256631942087,1.5700924586837752e-16
91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,0215196437e28b99e7aebfc3c17f96f18155e8431c97d425121df65688930558,16,0.02,13,0.88,0.0,central,32.0,0.6497549695463993,0.00916225523155271,0.0,K0,0.03223256865393793,64,0.009569778204427608,0,0.68,0.0,central_n64_L16_s1_sw0p65_A1_g1_r0_dt0p02,1,0.012345762801246113,0.022126177263469382,0.015286391744209954,0.00908032197160188,0.03299728779364031,0.002604822396867844,0.02038163880165287,0.01599998038130573,0.009575932087228397,0.0,0.01692941889155132,0.04836813337927433,0.02047256631942087,3.3306690738754696e-16,0.020472566319420765,1.1102230246251565e-16
91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,0215196437e28b99e7aebfc3c17f96f18155e8431c97d425121df65688930558,16,0.02,12,4.0,,central,4.0,0.0065335273096551304,0.0002827237196543996,0.0,K1,0.0026786256141862943,64,0.00027516687937056657,1,0.68,,central_n64_L16_s1_sw0p65_A1_g1_r0_dt0p02,1,0.0009421285501390621,0.0018387514129942484,0.0013522716242921795,0.0007857444360824694,0.0012286871966089297,7.589354609817411e-05,0.0006696445081649877,0.001461586966741539,0.00027534359732788366,0.0,0.0009055371630266978,0.002036730329835394,0.0018387514129942484,1.8195295750329704e-05,0.0018387514129942484,7.524843202016928e-08
91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,0215196437e28b99e7aebfc3c17f96f18155e8431c97d425121df65688930558,16,0.02,12,8.0,4.857870199311519e-08,central,8.0,0.013888710606337031,0.00028275114490023366,0.0,K1,0.002678693489053178,64,0.0002751666503523244,1,0.68,0.0,central_n64_L16_s1_sw0p65_A1_g1_r0_dt0p02,1,0.0009421291194806614,0.0018387999916962415,0.0013523100426552253,0.0007857454285517564,0.0012286871966089297,7.589354609817411e-05,0.0006696741607578511,0.0014616103270247169,0.00027534359732788366,0.0,0.0009055700328743995,0.0020367860590498332,0.0018387999916962415,7.524843202016928e-08,0.0018387999916962415,1.1408962210364348e-12
91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,0215196437e28b99e7aebfc3c17f96f18155e8431c97d425121df65688930558,16,0.02,12,10.88,4.689944179542271e-13,central,16.0,0.028599110543493657,0.00028275114530773376,0.0,K1,0.0026786934897326717,64,0.00027516665035160306,1,0.68,0.0,central_n64_L16_s1_sw0p65_A1_g1_r0_dt0p02,1,0.0009421291194831449,0.001838799992165236,0.0013523100432801041,0.0007857454285567652,0.0012286871966089297,7.589354609817411e-05,0.0006696741609679786,0.001461610327094571,0.00027534359732788366,0.0,0.0009055700332985916,0.0020367860591432455,0.001838799992165236,1.1408962210364348e-12,0.001838799992164853,1.9229626863835638e-16
91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,0215196437e28b99e7aebfc3c17f96f18155e8431c97d425121df65688930558,16,0.02,12,10.88,0.0,central,32.0,0.05801991041813148,0.00028275114530987267,0.0,K1,0.0026786934897326717,64,0.00027516665035160306,1,0.68,0.0,central_n64_L16_s1_sw0p65_A1_g1_r0_dt0p02,1,0.0009421291194831497,0.001838799992165236,0.0013523100432801041,0.0007857454285567652,0.0012286871966089297,7.589354609817411e-05,0.0006696741609679786,0.001461610327094571,0.00027534359732788366,0.0,0.0009055700332985916,0.0020367860591432455,0.0018387999921648892,2.482534153247273e-16,0.0018387999921648712,1.1102230246251565e-16
91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,0215196437e28b99e7aebfc3c17f96f18155e8431c97d425121df65688930558,16,0.02,16,3.56,,central,4.0,0.0004147580050575168,9.102025706407159e-06,0.0,K2,0.0001664469972569794,64,9.304956005733227e-06,2,0.28,,central_n64_L16_s1_sw0p65_A1_g1_r0_dt0p02,1,6.43785899219602e-05,0.00011425809182665234,6.949378293077411e-05,5.887417308476739e-05,9.2585134541475e-05,5.143102339677519e-06,3.79027322666852e-05,9.087835655935906e-05,9.310931844184495e-06,0.0,0.00011425809182665234,0.0002124047937148358,0.00011425809182665234,5.153836175935298e-07,0.00011425792200488397,2.8833513929688846e-09
91223842b0e681fe8f896e359909d9fcca08d34d2d3bf7cc88c734a4658a1fd6,0215196437e28b99e7aebfc3c17f96f18155e8431c97d425121df65688930558,16,0.02,16,3.56,0.0,central,8.0,0.000871788780234787,9.103091578327596e-06,0.0,K2,0.00016644681750588856,64,9.304948261324912e-06,2,0.28,0.0,central_n64_L16_s1_sw0p65_A1_g1_r0_dt0p02,1,6.437863962944587e-05,0.00011425809182665234,6.949378293077411e-05,5.887426035999376e-05,9.2585134541475e-05,5.143102339677519e-06,3.7903613851753946e-05,9.087946386309267e-05,9.310931844184495e-06,0.0,0.00011425809182665234,0.0002124057749579056,0.00011425792200488397,2.8833513929688846e-09,0.00011425766404371868,4.5527808340340576e-14
