sup_output_l2_error,sup_all_depth_gram_fro_error,final_output_l2_error,final_all_depth_gram_fro_error,min_reconstructed_psd_kernel_eigenvalue,tag,order,T,reference_final_loss,approx_final_loss,reference_max_depth_gram_motion,reference_output_motion,reference_residual_L1
0.021063184552933545,0.052375869736492775,0.003509952632030239,0.04460267041457254,1.250039697399616,smooth_generic,1,1.6,0.0016880027794856666,0.0018679980090602016,1.027634317037998,1.1467702899493777,0.649284041917839
0.0014661065611430684,0.006045939249277506,0.0004921003458757594,0.005855042138799569,1.286271300056726,smooth_generic,2,1.6,0.0016880027794856666,0.0017137831862116875,1.027634317037998,1.1467702899493777,0.649284041917839
2.8234028132119953e-05,0.00010551808809989044,8.773692422018325e-06,9.697632800973897e-05,1.2826589436152818,smooth_generic,4,1.6,0.0016880027794856666,0.0016876805359516166,1.027634317037998,1.1467702899493777,0.649284041917839
9.110129354345866e-07,1.412750629200098e-06,2.947101432621199e-07,1.0930975747138754e-06,1.282497328768036,smooth_generic,6,1.6,0.0016880027794856666,0.0016879857021096882,1.027634317037998,1.1467702899493777,0.649284041917839
7.827098060958909e-09,2.1763283036981007e-08,8.014423194684464e-10,1.6848846261938015e-08,1.2824947619738145,smooth_generic,8,1.6,0.0016880027794856666,0.0016880027466878015,1.027634317037998,1.1467702899493777,0.649284041917839
0.002193912788184939,0.004220095076900066,0.001248090001832127,0.004047578282445986,1.079117977376146,iid_generic,1,1.6,0.002006859356713514,0.0020747610136726507,0.6756703396007288,1.0670765058955372,0.68298847035281
0.00013437449373154817,0.00017543708532680128,4.7829884769718006e-05,8.394965176951654e-05,1.0773002372858682,iid_generic,2,1.6,0.002006859356713514,0.002009177597129943,0.6756703396007288,1.0670765058955372,0.68298847035281
1.8597985014640571e-07,3.006630107245946e-07,1.6432690424019518e-08,1.6640931287633365e-07,1.076309553210464,iid_generic,4,1.6,0.002006859356713514,0.002006859706320244,0.6756703396007288,1.0670765058955372,0.68298847035281
5.349803709737196e-10,1.5140035109964204e-09,1.744424635602772e-10,1.309363373751922e-09,1.076309774903717,iid_generic,6,1.6,0.002006859356713514,0.0020068593477782877,0.6756703396007288,1.0670765058955372,0.68298847035281
1.5528936747288638e-12,2.0092356593884264e-12,5.928293039366015e-13,1.6476408493273948e-12,1.076309776374339,iid_generic,8,1.6,0.002006859356713514,0.002006859356680151,0.6756703396007288,1.0670765058955372,0.68298847035281
0.01288625895911099,0.06874475479134294,0.004503266074375576,0.06378085213960055,1.3133244311975125,smooth_nonnormal,1,1.6,0.0008341242381174617,0.0010195512022527452,1.0641885156502713,1.188870915798581,0.6340149365060339
0.002324242289300952,0.015300142722622617,0.0002906153613249024,0.013451130027377182,1.222820570339816,smooth_nonnormal,2,1.6,0.0008341242381174617,0.0008422502945260157,1.0641885156502713,1.188870915798581,0.6340149365060339
2.971442036970837e-05,0.00039186769207518927,1.0866774782079745e-05,0.00036488584363917996,1.2138343402632523,smooth_nonnormal,4,1.6,0.0008341242381174617,0.00083450288184245,1.0641885156502713,1.188870915798581,0.6340149365060339
2.052291100170703e-06,4.749311253754995e-06,1.1674578681797442e-07,3.604396070492577e-06,1.2136121000836946,smooth_nonnormal,6,1.6,0.0008341242381174617,0.0008341237684406994,1.0641885156502713,1.188870915798581,0.6340149365060339
1.101771355920234e-08,2.8134962439521827e-08,1.2983678973790043e-09,2.0907098837717614e-08,1.2136033575467566,smooth_nonnormal,8,1.6,0.0008341242381174617,0.0008341242060835258,1.0641885156502713,1.188870915798581,0.6340149365060339
0.0007764195805642075,0.003386485171827245,0.0007764195805642075,0.0029923414370447133,0.0009495629323127199,smooth_aligned,1,1.6,0.720318348807736,0.7207767081811937,0.00838777858918295,0.008389870812361522,1.9231188976520748
0.0001567493195579061,0.0017954285424378706,0.0001567493195579061,0.0017954285424378706,0.0011004351303179015,smooth_aligned,2,1.6,0.720318348807736,0.7204181350693951,0.00838777858918295,0.008389870812361522,1.9231188976520748
1.5810164658910428e-06,1.1686636774431772e-05,1.5810164658910428e-06,5.795120665485296e-06,0.0011464527381327006,smooth_aligned,4,1.6,0.720318348807736,0.7203197929686131,0.00838777858918295,0.008389870812361522,1.9231188976520748
1.2300136250521316e-08,2.9789293437261475e-07,9.55688927414693e-09,2.9789293437261475e-07,0.0011471839017350687,smooth_aligned,6,1.6,0.720318348807736,0.7203183422678647,0.00838777858918295,0.008389870812361522,1.9231188976520748
5.561000896219161e-10,1.1151988316089445e-08,4.000283844933859e-10,1.1151988316089445e-08,0.0011471792942094837,smooth_aligned,8,1.6,0.720318348807736,0.7203183487002431,0.00838777858918295,0.008389870812361522,1.9231188976520748
