source,case_id,fractional_loss_progress,depth_index,depth_fraction,gram_increment_fro,progress_path_scale,terminal_loss_reduction_fraction
PDE,C0,0.04,2,0.125,0.000992437809868943,0.4853351268197654,1.0
PDE,C0,0.04,3,0.1875,0.0010657092315315417,0.4853351268197654,1.0
PDE,C0,0.04,4,0.25,0.0011401128251316685,0.4853351268197654,1.0
PDE,C0,0.04,5,0.3125,0.001215649346207684,0.4853351268197654,1.0
PDE,C0,0.04,6,0.375,0.0012923195572069968,0.4853351268197654,1.0
PDE,C0,0.04,7,0.4375,0.0013701242274920423,0.4853351268197654,1.0
PDE,C0,0.04,8,0.5,0.001449064133347843,0.4853351268197654,1.0
PDE,C0,0.04,9,0.5625,0.0015291400579869325,0.4853351268197654,1.0
PDE,C0,0.04,10,0.625,0.0016103527915573733,0.4853351268197654,1.0
PDE,C0,0.04,11,0.6875,0.0016927031311487816,0.4853351268197654,1.0
PDE,C0,0.04,12,0.75,0.0017761918807987873,0.4853351268197654,1.0
PDE,C0,0.04,13,0.8125,0.001860819851500506,0.4853351268197654,1.0
PDE,C0,0.04,14,0.875,0.0019465878612084906,0.4853351268197654,1.0
PDE,C0,0.04,15,0.9375,0.0020334967348463527,0.4853351268197654,1.0
PDE,C0,0.04,16,1.0,0.002121547304313086,0.4853351268197654,1.0
PDE,C0,0.05,0,0.0,0.0010616106183861408,0.4853351268197654,1.0
PDE,C0,0.05,1,0.0625,0.001150372264385068,0.4853351268197654,1.0
PDE,C0,0.05,2,0.125,0.0012405472623361205,0.4853351268197654,1.0
PDE,C0,0.05,3,0.1875,0.0013321365394142557,0.4853351268197654,1.0
PDE,C0,0.05,4,0.25,0.0014251410314145413,0.4853351268197654,1.0
PDE,C0,0.05,5,0.3125,0.0015195616827595568,0.4853351268197654,1.0
PDE,C0,0.05,6,0.375,0.0016153994465085018,0.4853351268197654,1.0
PDE,C0,0.05,7,0.4375,0.0017126552843650085,0.4853351268197654,1.0
PDE,C0,0.05,8,0.5,0.0018113301666847976,0.4853351268197654,1.0
PDE,C0,0.05,9,0.5625,0.0019114250724836372,0.4853351268197654,1.0
PDE,C0,0.05,10,0.625,0.0020129409894466847,0.4853351268197654,1.0
PDE,C0,0.05,11,0.6875,0.0021158789139357976,0.4853351268197654,1.0
PDE,C0,0.05,12,0.75,0.0022202398509984303,0.4853351268197654,1.0
PDE,C0,0.05,13,0.8125,0.002326024814375433,0.4853351268197654,1.0
PDE,C0,0.05,14,0.875,0.002433234826510636,0.4853351268197654,1.0
PDE,C0,0.05,15,0.9375,0.002541870918557898,0.4853351268197654,1.0
PDE,C0,0.05,16,1.0,0.0026519341303912784,0.4853351268197654,1.0
PDE,C0,0.06,0,0.0,0.0012739327420634682,0.4853351268197654,1.0
PDE,C0,0.06,1,0.0625,0.0013804467172620878,0.4853351268197654,1.0
PDE,C0,0.06,2,0.125,0.001488656714803431,0.4853351268197654,1.0
PDE,C0,0.06,3,0.1875,0.0015985638472972364,0.4853351268197654,1.0
PDE,C0,0.06,4,0.25,0.0017101692376974135,0.4853351268197654,1.0
PDE,C0,0.06,5,0.3125,0.0018234740193115,0.4853351268197654,1.0
