control,time,depth_index,depth_fraction,C2_minus_C0_contrast_fro,contrast_normalized
n128_L32_S16,0.16,9,0.5625,0.04185499215079764,0.05479270363446522
n128_L32_S16,0.16,10,0.625,0.04602270396346696,0.06024868836772476
n128_L32_S16,0.16,11,0.6875,0.05016979604839333,0.06567767965114271
n128_L32_S16,0.16,12,0.75,0.05429060984829997,0.07107226982231292
n128_L32_S16,0.16,13,0.8125,0.059078344248174916,0.0773399310634794
n128_L32_S16,0.16,14,0.875,0.06330104342026362,0.08286790018697496
n128_L32_S16,0.16,15,0.9375,0.06769442116028816,0.0886193059833522
n128_L32_S16,0.16,16,1.0,0.07247693776964603,0.09488013657338874
n128_L32_S16,0.2,0,0.0,0.011171221938811166,0.014624335628180288
n128_L32_S16,0.2,1,0.0625,0.015235037034985556,0.019944308342252477
n128_L32_S16,0.2,2,0.125,0.020146192970081623,0.026373541698332212
n128_L32_S16,0.2,3,0.1875,0.025233810902211266,0.03303378286039531
n128_L32_S16,0.2,4,0.25,0.029995113520310233,0.03926684204548772
n128_L32_S16,0.2,5,0.3125,0.034928118716717846,0.04572467844359796
n128_L32_S16,0.2,6,0.375,0.040679881508424554,0.053254356931800084
n128_L32_S16,0.2,7,0.4375,0.04588307128154361,0.06006589411152836
n128_L32_S16,0.2,8,0.5,0.051609420338881565,0.0675623032776268
n128_L32_S16,0.2,9,0.5625,0.05765429870560245,0.07547570169998956
n128_L32_S16,0.2,10,0.625,0.0635576557138136,0.08320383338459178
n128_L32_S16,0.2,11,0.6875,0.06949135503068456,0.09097168642716232
n128_L32_S16,0.2,12,0.75,0.07538971503758737,0.09869327649754653
n128_L32_S16,0.2,13,0.8125,0.08216445660105715,0.1075621446447412
n128_L32_S16,0.2,14,0.875,0.088299469868756,0.11559353938397375
n128_L32_S16,0.2,15,0.9375,0.0946208370432904,0.1238688915071087
n128_L32_S16,0.2,16,1.0,0.1015273495029001,0.13291026198410505
n128_L32_S16,0.24,0,0.0,0.012661895629507983,0.016575788431128398
n128_L32_S16,0.24,1,0.0625,0.01799658303922067,0.023559470214409524
n128_L32_S16,0.24,2,0.125,0.02432542202389471,0.03184460374371747
n128_L32_S16,0.24,3,0.1875,0.030869960479132822,0.040412111168166696
n128_L32_S16,0.24,4,0.25,0.03708965243929733,0.0485543594582423
n128_L32_S16,0.24,5,0.3125,0.043517499767578814,0.056969105598850635
n128_L32_S16,0.24,6,0.375,0.05095426302029102,0.06670463161298647
n128_L32_S16,0.24,7,0.4375,0.05775732226411453,0.07561057066110613
n128_L32_S16,0.24,8,0.5,0.06523610269395244,0.08540110169651902
n128_L32_S16,0.24,9,0.5625,0.07309269748212714,0.09568623251803648
n128_L32_S16,0.24,10,0.625,0.08081934579136806,0.10580124936884984
n128_L32_S16,0.24,11,0.6875,0.08864271322528797,0.11604288199622882
n128_L32_S16,0.24,12,0.75,0.09642672023257541,0.12623298757556467
n128_L32_S16,0.24,13,0.8125,0.10529858257373093,0.1378472132381406
n128_L32_S16,0.24,14,0.875,0.11348370057729482,0.14856241641788495
n128_L32_S16,0.24,15,0.9375,0.12187043047073359,0.15954155132867104
n128_L32_S16,0.24,16,1.0,0.1310565872708184,0.1715672223710483
n128_L32_S16,0.28,0,0.0,0.013120490765980838,0.017176138977377044
n128_L32_S16,0.28,1,0.0625,0.019701252568607743,0.025791066674442052
