pde_level,max_output_gap,max_output_gap_after_t0,max_loss_of_mean_gap,max_absolute_gram_gap,terminal_absolute_gram_gap,max_gram_increment_gap,terminal_gram_increment_gap,max_theta_gap,reference_feature_motion,pde_feature_motion
QMC_P5,0.010752997608040587,0.009462677636536012,0.0018456582720173254,0.019407504276630565,0.018788396123470764,0.007243343266500024,0.007243343266500024,0.03340430967791031,0.639909483539111,0.6338011211613804
QMC_P15_complete_quadratic,0.01075299760804061,0.009453838803652768,0.0019127959801223393,0.019810392694035478,0.019810373402201903,0.009202036002098544,0.009202036002098544,0.04728258799195597,0.639909483539111,0.6315521785488182
hybrid_P5,0.010752997608041251,0.009462698524294788,0.0018456582720177694,0.019407504276631193,0.018892154431257805,0.007540310496398357,0.007540310496398357,0.03340430967791105,0.639909483539111,0.6334667651730993
hybrid_P15_R128_complete_quadratic,0.010752997608041244,0.009440489904852656,0.001902410696560053,0.01995945257816738,0.01995944415797008,0.009519052314346224,0.009519052314346224,0.050155476486692926,0.639909483539111,0.63122040515477
hybrid_P15_R256_complete_quadratic,0.010752997608041248,0.009512175539851501,0.0018456582720177694,0.019666444226366056,0.0196664345029441,0.009222752796223534,0.009222752796223534,0.04870110669106803,0.639909483539111,0.6317521608641666
hybrid_P35_R128_complete_cubic_stress,0.010752997608041248,0.0094540924731613,0.0026567412253232225,0.02381291833433925,0.023570199434315882,0.013731297455703284,0.013731297455703284,0.09770662285869765,0.639909483539111,0.6265674981303708
