axis,comparison,output,grams,theta
depth,N8,0.0006108325025623169,0.002521182370129852,0.019704891574016583
depth,N16,0.000205069537552901,0.000844940571191566,0.00662832957364572
quadrature,M64_R32,0.007329895620904984,0.012735122207011146,0.12136487553935488
quadrature,M128_R64,0.0035861685282362397,0.0063823525090497156,0.10119359271387608
quadrature,M512_R128,0.00015256030449137885,0.0007832182892096894,0.0063229168529288105
quadrature,M256_R256,0.00011175609922917245,0.0011603455013098605,0.0063211383176348165
time_step,rk4_dt0.02_vs_dt0.01,6.825755252539374e-08,1.0896051639615654e-07,3.558843561001401e-07
time_step,rk4_dt0.01_vs_dt0.005,4.178868894815907e-09,6.6704141739187314e-09,2.176850373510182e-08
time_step,heun_vs_rk4_at_dt0.005,1.7272146760696694e-05,1.5552226554687028e-05,4.4423191948705165e-05
